,context,question,answers,id,hallucination,generated_answer,passage,passage_id,split
0,"It was only in the 1980s that digital telephony transmission networks became possible, such as with ISDN networks, assuring a minimum bit rate (usually 128 kilobits/s) for compressed video and audio transmission. During this time, there was also research into other forms of digital video and audio communication. Many of these technologies, such as the Media space, are not as widely used today as videoconferencing but were still an important area of research. The first dedicated systems started to appear in the market as ISDN networks were expanding throughout the world. One of the first commercial videoconferencing systems sold to companies came from PictureTel Corp., which had an Initial Public Offering in November, 1984. 

The MC controls the conferencing while it is active on the signaling plane, which is simply where the system manages conferencing creation, endpoint signaling and in-conferencing controls. This component negotiates parameters with every endpoint in the network and controls conferencing resources. While the MC controls resources and signaling negotiations, the MP operates on the media plane and receives media from each endpoint. The MP generates output streams from each endpoint and redirects the information to other endpoints in the conference. Q: What company had an IPO in 1984? A: PictureTel Corp. Q: What do they do? A: commercial videoconferencing systems. Q: When did digital telephony transmission networks begin? A: in the 1980s. Q: What were the 1st networks? A: ISDN networks. Q: What was the minimum bit rate? A: 128 kilobits/s. Q: For what type of transmission? A: compressed video and audio.",What was also researched?,"['other forms of digital video and audio communication', 'other forms of digital video and audio communication', 'Media space', 'other forms of digital video and audio communication']",3l70j4kazgmn5j1e2yf7t31eox1da1_6,False,other forms of digital video and audio communication.,"It was only in the 1980s that digital telephony transmission networks became possible, such as with ISDN networks, assuring a minimum bit rate (usually 128 kilobits/s) for compressed video and audio transmission. During this time, there was also research into other forms of digital video and audio communication. Many of these technologies, such as the Media space, are not as widely used today as videoconferencing but were still an important area of research. The first dedicated systems started to appear in the market as ISDN networks were expanding throughout the world. One of the first commercial videoconferencing systems sold to companies came from PictureTel Corp., which had an Initial Public Offering in November, 1984. 

The MC controls the conferencing while it is active on the signaling plane, which is simply where the system manages conferencing creation, endpoint signaling and in-conferencing controls. This component negotiates parameters with every endpoint in the network and controls conferencing resources. While the MC controls resources and signaling negotiations, the MP operates on the media plane and receives media from each endpoint. The MP generates output streams from each endpoint and redirects the information to other endpoints in the conference. ",238,train
1,"Aragon ( or , Spanish and , or ) is an autonomous community in Spain, coextensive with the medieval Kingdom of Aragon. Located in northeastern Spain, the Aragonese autonomous community comprises three provinces (from north to south): Huesca, Zaragoza, and Teruel. Its capital is Zaragoza (also called ""Saragossa"" in English). The current Statute of Autonomy declares Aragon a ""nationality"" of Spain. 

Aragon's northern province of Huesca borders France and is positioned in the middle of the Pyrenees. Within Spain, the community is flanked by Catalonia to the east, Valencian Community and Castilla–La Mancha to the south, and Castile and León, La Rioja, and Navarre to the west. 

Covering an area of , the region's terrain ranges diversely from permanent glaciers to verdant valleys, rich pasture lands and orchards, through to the arid steppe plains of the central lowlands. Aragon is home to many rivers—most notably, the river Ebro, Spain's largest river in volume, which runs west-east across the entire region through the province of Zaragoza. It is also home to the Aneto, the highest mountain in the Pyrenees. 

, the population of Aragon was 1,317,847, with slightly more than half of it living in Zaragoza, its capital city. The economy of Aragon generates () a GDP of €33,162 million which represents 3.13% of Spain's national GDP, and is currently 6th in per capita production behind Madrid, Basque Country, Navarre, Catalonia and La Rioja. Q: Where is Aragon located? A: in northeastern Spain. Q: What are the people of the community referred to as? A: the Aragonese. Q: Does it have a diverse terrain? A: yes. Q: What is its most notable body of water called? A: the river Ebro. Q: Does it run North and South? A: no. Q: Are there any mountains? A: yes. Q: What is the name of one of them? A: Aneto. Q: How many Providences are there? A: three.",What are they?,"['Huesca, Zaragoza, and Teruel', 'Huesca, Zaragoza, and Teruel.', 'Huesca, Zaragoza, and Teruel', 'Huesca, Zaragoza, and Teruel']",3x66wabajwiqxickv915cgq5voj3gh_8,False,"Huesca, Zaragoza, and Teruel.","Aragon ( or , Spanish and , or ) is an autonomous community in Spain, coextensive with the medieval Kingdom of Aragon. Located in northeastern Spain, the Aragonese autonomous community comprises three provinces (from north to south): Huesca, Zaragoza, and Teruel. Its capital is Zaragoza (also called ""Saragossa"" in English). The current Statute of Autonomy declares Aragon a ""nationality"" of Spain. 

Aragon's northern province of Huesca borders France and is positioned in the middle of the Pyrenees. Within Spain, the community is flanked by Catalonia to the east, Valencian Community and Castilla–La Mancha to the south, and Castile and León, La Rioja, and Navarre to the west. 

Covering an area of , the region's terrain ranges diversely from permanent glaciers to verdant valleys, rich pasture lands and orchards, through to the arid steppe plains of the central lowlands. Aragon is home to many rivers—most notably, the river Ebro, Spain's largest river in volume, which runs west-east across the entire region through the province of Zaragoza. It is also home to the Aneto, the highest mountain in the Pyrenees. 

, the population of Aragon was 1,317,847, with slightly more than half of it living in Zaragoza, its capital city. The economy of Aragon generates () a GDP of €33,162 million which represents 3.13% of Spain's national GDP, and is currently 6th in per capita production behind Madrid, Basque Country, Navarre, Catalonia and La Rioja. ",91,train
2,"Germany, officially the Federal Republic of Germany, is a federal parliamentary republic in central-western Europe. It includes 16 constituent states, covers an area of , and has a largely temperate seasonal climate. With about 82 million inhabitants, Germany is the most populous member state of the European Union. After the United States, it is the second most popular immigration destination in the world. Germany's capital and largest metropolis is Berlin, while its largest conurbation is the Ruhr, with its main centres of Dortmund and Essen. The country's other major cities are Hamburg, Munich, Cologne, Frankfurt, Stuttgart, Düsseldorf, Leipzig, Bremen, Dresden, Hannover and Nuremberg. 

Various Germanic tribes have inhabited the northern parts of modern Germany since classical antiquity. A region named Germania was documented before 100 AD. During the Migration Period, the Germanic tribes expanded southward. Beginning in the 10th century, German territories formed a central part of the Holy Roman Empire. During the 16th century, northern German regions became the centre of the Protestant Reformation. After the collapse of the Holy Roman Empire, the German Confederation was formed in 1815. The German revolutions of 1848–49 resulted in the Frankfurt Parliament establishing major democratic rights. 

In 1871, Germany became a nation state when most of the German states unified into the Prussian-dominated German Empire. After World War I and the German Revolution of 1918–19, the Empire was replaced by the parliamentary Weimar Republic. In 1933 the Nazi seizure of power quickly led to the establishment of Nazi Germany which was built upon a dictatorship and consequently led to World War II and the Holocaust. After the end of World War II in Europe and a period of Allied occupation, two German states were founded: the democratic West Germany and the socialist East Germany. Following the Revolutions of 1989 that ended communist rule in Central and Eastern Europe, the country was reunified on 3 October 1990. Q: When did Germany become a nation state? A: In 1871. Q: What years were the German Revolution? A: 1918–19. Q: After that event, What was the Empire replaced by? A: Weimar Republic. Q: When did the Nazi seizure of power happen? A: In 1933. Q: Did this lead to the establishment of Nazi Germany? A: Yes. Q: What was that built upon? A: A dictatorship. Q: How many events did that cause? A: Two. Q: What was the first one? A: World War II. Q: And the second? A: The Holocaust. Q: How many states were established after World War II? A: Two. Q: What were they? A: West Germany and East Germany. Q: Which one was democratic? A: West Germany. Q: What year did communism end? A: 1989. Q: When was the country brought back together? A: 3 October 1990. Q: Since what time period have Germanic tribes been in parts of Germany? A: Since classical antiquity. Q: Was there a recorded region before 100 AD? A: Yes. Q: What was it called? A: Germania. Q: Where did the tribes branch out to in the migration period? A: Southward.",What is the official name of Germany?,"['Federal Republic of Germany,', 'the Federal Republic of Germany', 'Federal Republic of Germany', 'the Federal Republic of Germany']",3a0ex8zrn8ovm41x482h1zvlof2by0_18,False,Federal Republic of Germany.,"Germany, officially the Federal Republic of Germany, is a federal parliamentary republic in central-western Europe. It includes 16 constituent states, covers an area of , and has a largely temperate seasonal climate. With about 82 million inhabitants, Germany is the most populous member state of the European Union. After the United States, it is the second most popular immigration destination in the world. Germany's capital and largest metropolis is Berlin, while its largest conurbation is the Ruhr, with its main centres of Dortmund and Essen. The country's other major cities are Hamburg, Munich, Cologne, Frankfurt, Stuttgart, Düsseldorf, Leipzig, Bremen, Dresden, Hannover and Nuremberg. 

Various Germanic tribes have inhabited the northern parts of modern Germany since classical antiquity. A region named Germania was documented before 100 AD. During the Migration Period, the Germanic tribes expanded southward. Beginning in the 10th century, German territories formed a central part of the Holy Roman Empire. During the 16th century, northern German regions became the centre of the Protestant Reformation. After the collapse of the Holy Roman Empire, the German Confederation was formed in 1815. The German revolutions of 1848–49 resulted in the Frankfurt Parliament establishing major democratic rights. 

In 1871, Germany became a nation state when most of the German states unified into the Prussian-dominated German Empire. After World War I and the German Revolution of 1918–19, the Empire was replaced by the parliamentary Weimar Republic. In 1933 the Nazi seizure of power quickly led to the establishment of Nazi Germany which was built upon a dictatorship and consequently led to World War II and the Holocaust. After the end of World War II in Europe and a period of Allied occupation, two German states were founded: the democratic West Germany and the socialist East Germany. Following the Revolutions of 1989 that ended communist rule in Central and Eastern Europe, the country was reunified on 3 October 1990. ",215,train
3,"The first police officer at the scene of Tupac Shakur's 1996 drive-by murder has revealed the last words spoken by the late rap legend. And they're not exactly peaceful. 

""He looked at me, and he took a breath to get the words out, and he opened his mouth,"" says Chris Carroll, a retired sergeant with the Las Vegas Metropolitan Police Department, in a new feature with Vegas Seven. ""And then the words came out: 'F**k you.'"" 

Rolling Stone: 50 Greatest Hip-Hop Songs of All Time 

Shakur was shot multiple times on September 7th, 1996. After leaving a boxing match with former Death Row Records CEO Suge Knight, the rapper and his bodyguards got into a scuffle with 21-year-old Crips gang member Orlando Anderson in the lobby of the MGM Grand casino. Carroll, who worked with the city's bike patrol unit, had also been watching the same Mike Tyson fight, but was unaware of the brawl taking place in the lobby. 

Later, a white Cadillac pulled up beside Knight and Shakur while they were stopped at a traffic light and one man began shooting out of the back window. Carroll was the first officer to respond to the grisly scene. 

""I grab the car door and I'm trying to open it, but I can't get it open,"" he says. ""[Knight] keeps coming up on my back, so I'm pointing my gun at him. I'm pointing it at the car. I'm yelling, 'You guys lay down! And you, get the f**k away from me!' And every time I'd point the gun at him, he'd back off and even lift his hands up, like 'All right! All right!' So I'd go back to the car, and here he comes again. I'm like, 'F**ker, back off!' This guy is huge, and the whole time he's running around at the scene, he's gushing blood from his head. Gushing blood! I mean the guy had clearly been hit in the head, but he had all his faculties. I couldn't believe he was running around and doing what he was doing, yelling back and forth.""  Q: What were the last words mentioned in the story? A: 'F**k you. Q: Who said them? A: Tupac Shakur. Q: At what scene? A: the scene his  murder. Q: Who was the witness to these words? A: Chris Carroll.",What was his occupation?,"['police officer', 'a retired sergeant with the Las Vegas Metropolitan Police Department', 'a sergeant', 'a retired sergeant']",3lpw2n6lkt2cgf0jtxefvspgis25um_4,False,a retired sergeant with the Las Vegas Metropolitan Police Department.,"The first police officer at the scene of Tupac Shakur's 1996 drive-by murder has revealed the last words spoken by the late rap legend. And they're not exactly peaceful. 

""He looked at me, and he took a breath to get the words out, and he opened his mouth,"" says Chris Carroll, a retired sergeant with the Las Vegas Metropolitan Police Department, in a new feature with Vegas Seven. ""And then the words came out: 'F**k you.'"" 

Rolling Stone: 50 Greatest Hip-Hop Songs of All Time 

Shakur was shot multiple times on September 7th, 1996. After leaving a boxing match with former Death Row Records CEO Suge Knight, the rapper and his bodyguards got into a scuffle with 21-year-old Crips gang member Orlando Anderson in the lobby of the MGM Grand casino. Carroll, who worked with the city's bike patrol unit, had also been watching the same Mike Tyson fight, but was unaware of the brawl taking place in the lobby. 

Later, a white Cadillac pulled up beside Knight and Shakur while they were stopped at a traffic light and one man began shooting out of the back window. Carroll was the first officer to respond to the grisly scene. 

""I grab the car door and I'm trying to open it, but I can't get it open,"" he says. ""[Knight] keeps coming up on my back, so I'm pointing my gun at him. I'm pointing it at the car. I'm yelling, 'You guys lay down! And you, get the f**k away from me!' And every time I'd point the gun at him, he'd back off and even lift his hands up, like 'All right! All right!' So I'd go back to the car, and here he comes again. I'm like, 'F**ker, back off!' This guy is huge, and the whole time he's running around at the scene, he's gushing blood from his head. Gushing blood! I mean the guy had clearly been hit in the head, but he had all his faculties. I couldn't believe he was running around and doing what he was doing, yelling back and forth.""  ",367,train
4,"Claude Monet is surely one of the most famous French artists of all. Monet was particularly interested in the effect of light and would paint the same scene in different lighting conditions or times of the day. For example, he painted around 20 versions of the Rouen Cathedral from dawn to dusk. His most famous paintings include his Water lilies series. 

The paintings of Paul Cezanne had a lot of influence in the development of 20th century art, including Cubism and Fauvism . Cezanne is one of the most famous French artists and is known as a ""post-impressionist"", which was similar in some ways to impressionism but also broke away from some of its limitations. Famous French paintings include his Bathers and Mont St Victoire series. 

Henri Matisse was one of the most important famous French artists of the 20th century. He was considered one of the leaders of the Fauvist movement. He had a long and varied artistic career, painting in different styles ranging from Impressionism to Abstract. In 1941, Matisse was diagnosed with cancer and was forced into a wheelchair. But this didn't stop him completing the amazing Chapel of the Rosary in Vence. 

Degas is probably one of the most fascinating of all the famous French artists. He is known as one of the founders of Impressionism, but his paintings were also influenced by classicism, romanticism, and realism. His style is definitely very unique. He was a prolific artist, producing over one thousand works. He is best known for his paintings of ballet dancers. Q: Degas is known as what? A: founder of Impressionism. Q: How many categories was his paintings influenced by? A: three. Q: What was the first category? A: classicism. Q: And the second? A: romanticism. Q: The third? A: realism. Q: What kind of style does he have? A: unique. Q: What kind of artist was he? A: French. Q: How many items did he produce? A: over one thousand. Q: What is he best known for? A: paintings of ballet dancers. Q: What did the paintings of Paul Cezanne influence? A: Cubism and Fauvism. Q: What is he known as? A: a post-impressionist.",What is that?,"['similar to impressionism', 'similar  to impressionism', 'similar in some ways to impressionism but also broke away from some of its limitations', 'its similar to impressionism but broke away from its limitations']",3qemnnsb2xz5mh3gvv3njczontvd7i_11,False,similar in some ways to impressionism but also broke away from some of its limitations.,"Claude Monet is surely one of the most famous French artists of all. Monet was particularly interested in the effect of light and would paint the same scene in different lighting conditions or times of the day. For example, he painted around 20 versions of the Rouen Cathedral from dawn to dusk. His most famous paintings include his Water lilies series. 

The paintings of Paul Cezanne had a lot of influence in the development of 20th century art, including Cubism and Fauvism . Cezanne is one of the most famous French artists and is known as a ""post-impressionist"", which was similar in some ways to impressionism but also broke away from some of its limitations. Famous French paintings include his Bathers and Mont St Victoire series. 

Henri Matisse was one of the most important famous French artists of the 20th century. He was considered one of the leaders of the Fauvist movement. He had a long and varied artistic career, painting in different styles ranging from Impressionism to Abstract. In 1941, Matisse was diagnosed with cancer and was forced into a wheelchair. But this didn't stop him completing the amazing Chapel of the Rosary in Vence. 

Degas is probably one of the most fascinating of all the famous French artists. He is known as one of the founders of Impressionism, but his paintings were also influenced by classicism, romanticism, and realism. His style is definitely very unique. He was a prolific artist, producing over one thousand works. He is best known for his paintings of ballet dancers. ",196,train
5,"Liverpool () is a city in North West England, with an estimated population of 478,580 in 2015. With its surrounding areas, it is the fifth-largest metropolitan area in the UK, with over 2.24 million people in 2011. The local authority is Liverpool City Council, the most populous local government district within the metropolitan county of Merseyside and the largest within the Liverpool City Region. 

Liverpool is located on the eastern side of the Mersey Estuary, and historically lay within the ancient hundred of West Derby in the south west of the county of Lancashire. It became a borough in 1207 and a city in 1880. In 1889, it became a county borough independent of Lancashire. Its growth as a major port was paralleled by the expansion of the city throughout the Industrial Revolution. Along with handling general cargo, freight, raw materials such as coal and cotton, the city merchants were involved in the Atlantic slave trade. In the 19th century, it was a major port of departure for Irish and English emigrants to the United States. Liverpool was home to both the Cunard and White Star Line, and was the port of registry of the ocean liner RMS ""Titanic"", the RMS ""Lusitania"", ""Queen Mary"" and ""Olympic"". Q: Which port was home to the Titanic? A: Liverpool. Q: Was the Queen Mary registered there as well? A: Yes. Q: What other famous ships have called it home? A: Lusitania and Olympic. Q: What estuary lies to its west? A: Mersey Estuary. Q: Before 1889, what county was it a part of? A: Lancashire. Q: What ancient hundred does it lie in? A: West Derby. Q: Did it become a borough and a city at the same time? A: No. Q: Which occurred first? A: It became a borough first. Q: When was that? A: 1207. Q: When did it gain city status? A: 1880. Q: What happened that sped up the growth of the city? A: Its growth as a major port . Q: What was going on that caused that? A: The Atlantic slave trade. Q: Did any raw materials go through the port? A: Yes. Q: Name one of the materials. A: Coal. Q: What would be another example? A: Cotton. Q: If I were Irish in the 1800s and going to America, what port would I likely leave from? A: Liverpool. Q: What part of England is it in? A: North West.",Does the city itself have over a million inhabitants?,"['No.', 'no', 'no', 'no']",3eret4btvm9he6xj29nu1llk20nk91_17,True,Yes.,"Liverpool () is a city in North West England, with an estimated population of 478,580 in 2015. With its surrounding areas, it is the fifth-largest metropolitan area in the UK, with over 2.24 million people in 2011. The local authority is Liverpool City Council, the most populous local government district within the metropolitan county of Merseyside and the largest within the Liverpool City Region. 

Liverpool is located on the eastern side of the Mersey Estuary, and historically lay within the ancient hundred of West Derby in the south west of the county of Lancashire. It became a borough in 1207 and a city in 1880. In 1889, it became a county borough independent of Lancashire. Its growth as a major port was paralleled by the expansion of the city throughout the Industrial Revolution. Along with handling general cargo, freight, raw materials such as coal and cotton, the city merchants were involved in the Atlantic slave trade. In the 19th century, it was a major port of departure for Irish and English emigrants to the United States. Liverpool was home to both the Cunard and White Star Line, and was the port of registry of the ocean liner RMS ""Titanic"", the RMS ""Lusitania"", ""Queen Mary"" and ""Olympic"". ",260,train
6,"(CNN) -- President Barack Obama has nominated his top counterterrorism adviser, John Brennan, to be the next director of the CIA. 

If there is an emerging Obama doctrine to deal with the threat from al Qaeda and its allies, it is clearly a rejection of the use of conventional military forces and a growing reliance instead on the use of drones and U.S. Special Operations Forces -- and Brennan has been central to Obama's policy. 

In an April 30 speech at the Woodrow Wilson Center in Washington, Brennan laid out the rationale for the drone policy in more detail than any administration official had done publicly hitherto. He asserted that the drone strikes are legal both under the Authorization for Use of Military Force passed by Congress after the September 11 attacks and because, ""There is nothing in international law that bans the use of remotely piloted aircraft for this purpose or that prohibits us from using lethal force against our enemies outside of an active battlefield, at least when the country involved consents or is unable or unwilling to take action against the threat."" 

This does not appear to be the view of Ben Emmerson, U.N. special rapporteur on counterterrorism and human rights, who announced plans at Harvard Law School in October to launch an investigation into U.S. drone attacks and the extent to which they cause civilian casualties. 

Politics: Compared to Hagel, reaction to Brennan nomination muted 

One of Brennan's most significant legacies in the four years he has been the president's principal adviser on terrorism is the U.S. drone campaign against al Qaeda and its allies in countries such as Pakistan and Yemen -- one that has shifted focus significantly in the past year or so.  Q: Who did Obama nominate? A: John Brennan. Q: To be what? A: Next director of the CIA. Q: Was he Obama's adviser before that? A: Yes. Q: What kind? A: His top counterterrorism adviser,. Q: On what day did Brennan give his speech? A: April 30. Q: At what facility? A: The Woodrow Wilson Center. Q: In what location? A: Washington. Q: What did Brennan talk about in great detail? A: The drone policy. Q: Did he say it was legal or illegal? A: Legal. Q: What was passed by Congress? A: Authorization for Use of Military Force. Q: After what event was it passed? A: The September 11 attacks. Q: Does Ben Emmerson have the same opinion as Brennan? A: No.",What is Emmerson's job title?,"['U.N. special rapporteur on counterterrorism and human rights.', 'U.N. special rapporteur on counterterrorism and human rights', 'U.N. special rapporteur on counterterrorism and human rights', 'U.N. special rapporteur on counterterrorism and human rights']",3xcc1odxdlb9t9r09v7dosxn7pdqr8_12,False,U.N. special rapporteur on counterterrorism and human rights.,"(CNN) -- President Barack Obama has nominated his top counterterrorism adviser, John Brennan, to be the next director of the CIA. 

If there is an emerging Obama doctrine to deal with the threat from al Qaeda and its allies, it is clearly a rejection of the use of conventional military forces and a growing reliance instead on the use of drones and U.S. Special Operations Forces -- and Brennan has been central to Obama's policy. 

In an April 30 speech at the Woodrow Wilson Center in Washington, Brennan laid out the rationale for the drone policy in more detail than any administration official had done publicly hitherto. He asserted that the drone strikes are legal both under the Authorization for Use of Military Force passed by Congress after the September 11 attacks and because, ""There is nothing in international law that bans the use of remotely piloted aircraft for this purpose or that prohibits us from using lethal force against our enemies outside of an active battlefield, at least when the country involved consents or is unable or unwilling to take action against the threat."" 

This does not appear to be the view of Ben Emmerson, U.N. special rapporteur on counterterrorism and human rights, who announced plans at Harvard Law School in October to launch an investigation into U.S. drone attacks and the extent to which they cause civilian casualties. 

Politics: Compared to Hagel, reaction to Brennan nomination muted 

One of Brennan's most significant legacies in the four years he has been the president's principal adviser on terrorism is the U.S. drone campaign against al Qaeda and its allies in countries such as Pakistan and Yemen -- one that has shifted focus significantly in the past year or so.  ",35,train
7,"Brendan loves cats. He owns 8 cats. He has 7 girl cats and only 1 boy cat. Brendan brushes the cats' hair every day. He makes sure to feed them every morning and evening and always checks to see if the cats have water. Sometimes he feeds them special treats because he loves them. Each cat gets 3 treats. He doesn't give them food like chips and cake and candy, because those foods aren't good for cats. He likes to play with the cats. The cats like to chase balls of paper that Brendan makes for them. Some of his cats have orange fur, some have black fur, some are spotted and one is white. The white cat is Brendan's favorite. She is the first cat he owned. Her name is Snowball. When he first got Snowball she was a kitten. His other cats are named Fluffy, Salem, Jackie, Cola, Snickers, Pumpkin and Whiskers. Q: What does he care for? A: cats. Q: How many does he have? A: Eight. Q: Are there more males or females? A: females. Q: How many? A: 7 girl cats and only 1 boy cat. Q: What is groomed? A: cat's hair. Q: What do they get fed? A: treats. Q: How many? A: Three. Q: Why? A: because he loves them. Q: What foods are avoided? A: chips and cake and candy.",Why?,"[""because those foods aren't good for cats"", ""because those foods aren't good for cats"", ""because those foods aren't good for cats."", ""because those foods aren't good for cats""]",3z3zlgnnsiuha76yy56h6uu707qq3o_9,False,because those foods aren't good for cats.,"Brendan loves cats. He owns 8 cats. He has 7 girl cats and only 1 boy cat. Brendan brushes the cats' hair every day. He makes sure to feed them every morning and evening and always checks to see if the cats have water. Sometimes he feeds them special treats because he loves them. Each cat gets 3 treats. He doesn't give them food like chips and cake and candy, because those foods aren't good for cats. He likes to play with the cats. The cats like to chase balls of paper that Brendan makes for them. Some of his cats have orange fur, some have black fur, some are spotted and one is white. The white cat is Brendan's favorite. She is the first cat he owned. Her name is Snowball. When he first got Snowball she was a kitten. His other cats are named Fluffy, Salem, Jackie, Cola, Snickers, Pumpkin and Whiskers. ",105,train
8,"CHAPTER XI Peter Rabbit and Jerry Muskrat Are Puzzled. 

Jerry Muskrat was more and more sure that his big cousin, Paddy the Beaver, didn't know quite so much as he might about house-building. Jerry would have liked to offer some suggestions, but he didn't quite dare. You see, he was very anxious not to displease his big cousin. But he felt that he simply had got to speak his mind to someone, so he swam across to where he had seen Peter Rabbit almost every night since Paddy began to build. Sure enough, Peter was there, sitting up very straight and staring with big round eyes at the platform of mud and sticks out in the water where Paddy the Beaver was at work. 

""Well, Peter, what do you think of it?"" asked Jerry 

""What is it?"" asked Peter innocently. ""Is it another dam?"" 

Jerry threw back his head and laughed and laughed. 

Peter looked at him suspiciously. ""I don't see anything to laugh at,"" said he. 

""Why, it's a house, you stupid. It's Paddy's new house,"" replied Jerry, wiping the tears of laughter from his eyes. 

""I'm not stupid!"" retorted Peter. ""How was I to know that that pile of mud and sticks is meant for a house? It certainly doesn't look it. Where is the door?"" 

""To tell you the truth, I don't think it is much of a house myself,"" replied Jerry. ""It has got a door, all right. In fact it has got three. You can't see them because they are under water, and there is a passage from each right up through that platform of mud and sticks, which is the foundation of the house. It really is a very fine foundation, Peter; it really is. But what I can't understand is what Paddy is thinking of by building that great pile of mud right in the middle. When he gets his walls built, where will his bedroom be? There won't be any room at all. It won't be a house at all--just a big useless pile of sticks and mud.  Q: Who was laughing a bunch? A: Jerry. Q: Who was annoyed by it? A: Peter. Q: What were they talking of at that moment? A: Paddy's new house. Q: What did the annoyed boy this is was at first? A: Another dam. Q: Was the laughing boy polite about the misunderstanding? A: No. Q: What did he call him? A: Stupid. Q: Why didn't the annoyed boy believe it wasn't a home? A: It  doesn't look it. Q: What's missing? A: the door. Q: How many does the laughing boy point out there actually are? A: Three. Q: Why can't they be easily noticed? A: because they are under water. Q: What is the base made of? A: mud and sticks.",Is the builder related to anyone?,"['Yes', 'cousin', 'yes', 'Yes.']",3ve8ayvf8mx6kfmvw6qjlcy49lyf8o_11,True,Paddy the Beaver.,"CHAPTER XI Peter Rabbit and Jerry Muskrat Are Puzzled. 

Jerry Muskrat was more and more sure that his big cousin, Paddy the Beaver, didn't know quite so much as he might about house-building. Jerry would have liked to offer some suggestions, but he didn't quite dare. You see, he was very anxious not to displease his big cousin. But he felt that he simply had got to speak his mind to someone, so he swam across to where he had seen Peter Rabbit almost every night since Paddy began to build. Sure enough, Peter was there, sitting up very straight and staring with big round eyes at the platform of mud and sticks out in the water where Paddy the Beaver was at work. 

""Well, Peter, what do you think of it?"" asked Jerry 

""What is it?"" asked Peter innocently. ""Is it another dam?"" 

Jerry threw back his head and laughed and laughed. 

Peter looked at him suspiciously. ""I don't see anything to laugh at,"" said he. 

""Why, it's a house, you stupid. It's Paddy's new house,"" replied Jerry, wiping the tears of laughter from his eyes. 

""I'm not stupid!"" retorted Peter. ""How was I to know that that pile of mud and sticks is meant for a house? It certainly doesn't look it. Where is the door?"" 

""To tell you the truth, I don't think it is much of a house myself,"" replied Jerry. ""It has got a door, all right. In fact it has got three. You can't see them because they are under water, and there is a passage from each right up through that platform of mud and sticks, which is the foundation of the house. It really is a very fine foundation, Peter; it really is. But what I can't understand is what Paddy is thinking of by building that great pile of mud right in the middle. When he gets his walls built, where will his bedroom be? There won't be any room at all. It won't be a house at all--just a big useless pile of sticks and mud.  ",143,train
9,"CHAPTER XVII: MACHINATIONS 

""Baby born to woe."" 

F. T. PALGRAVE. 

When Anne Woodford began to wake from the constant thought of the grief and horror she had left at Portchester, and to feel more alive to her surroundings and less as if they were a kind of dream, in which she only mechanically took her part, one thing impressed itself on her gradually, and that was disappointment. If the previous shock had not blunted all her hopes and aspirations, perhaps she would have felt it sooner and more keenly; but she could not help realising that she had put herself into an inferior position whence there did not seem to be the promotion she had once anticipated. Her companion rockers were of an inferior grade to herself. Jane Humphreys was a harmless but silly girl, not much wiser, though less spoilt, than poor little Madam, and full of Cockney vulgarities. Education was unfashionable just then, and though Hester Bridgeman was bettor born and bred, being the daughter of an attorney in the city, she was not much better instructed, and had no pursuits except that of her own advantage. Pauline Dunord was by far the best of the three, but she seemed to live a life apart, taking very little interest in her companions or anything around her except her devotions and the bringing them over to her Church. The nursery was quite a separate establishment; there was no mingling with the guests of royalty, who were only seen in excited peeps from the window, or when solemnly introduced to the presence chamber to pay their respects to the Prince. As to books, the only secular one that Anne saw while at Whitehall was an odd volume of Parthenissa. The late King's summary of the Roman controversy was to be had in plenty, and nothing was more evident than that the only road to favour or promotion was in being thereby convinced.  Q: who was Anne's companion A: rockers. Q: what was the only secular book she saw while at whitehall? A: an odd volume of Parthenissa. Q: what feeling impressed upon Anne? A: she had put herself into an inferior position. Q: what place had she left? A: t Portchester.",did she think her companion was superior?,"['no', 'no', 'no', 'no']",3strjbfxowr0yl6x0fsbslmwvuztks_4,True,Jane Humphreys was a silly girl.,"CHAPTER XVII: MACHINATIONS 

""Baby born to woe."" 

F. T. PALGRAVE. 

When Anne Woodford began to wake from the constant thought of the grief and horror she had left at Portchester, and to feel more alive to her surroundings and less as if they were a kind of dream, in which she only mechanically took her part, one thing impressed itself on her gradually, and that was disappointment. If the previous shock had not blunted all her hopes and aspirations, perhaps she would have felt it sooner and more keenly; but she could not help realising that she had put herself into an inferior position whence there did not seem to be the promotion she had once anticipated. Her companion rockers were of an inferior grade to herself. Jane Humphreys was a harmless but silly girl, not much wiser, though less spoilt, than poor little Madam, and full of Cockney vulgarities. Education was unfashionable just then, and though Hester Bridgeman was bettor born and bred, being the daughter of an attorney in the city, she was not much better instructed, and had no pursuits except that of her own advantage. Pauline Dunord was by far the best of the three, but she seemed to live a life apart, taking very little interest in her companions or anything around her except her devotions and the bringing them over to her Church. The nursery was quite a separate establishment; there was no mingling with the guests of royalty, who were only seen in excited peeps from the window, or when solemnly introduced to the presence chamber to pay their respects to the Prince. As to books, the only secular one that Anne saw while at Whitehall was an odd volume of Parthenissa. The late King's summary of the Roman controversy was to be had in plenty, and nothing was more evident than that the only road to favour or promotion was in being thereby convinced.  ",161,train
