,context,question,answers,id,generated_answer,hallucination,source_id,split
0,"Once there was a beautiful fish named Asta. Asta lived in the ocean. There were lots of other fish in the ocean where Asta lived. They played all day long. 

One day, a bottle floated by over the heads of Asta and his friends. They looked up and saw the bottle. ""What is it?"" said Asta's friend Sharkie. ""It looks like a bird's belly,"" said Asta. But when they swam closer, it was not a bird's belly. It was hard and clear, and there was something inside it. 

The bottle floated above them. They wanted to open it. They wanted to see what was inside. So they caught the bottle and carried it down to the bottom of the ocean. They cracked it open on a rock. When they got it open, they found what was inside. It was a note. The note was written in orange crayon on white paper. Asta could not read the note. Sharkie could not read the note. They took the note to Asta's papa. ""What does it say?"" they asked. 

Asta's papa read the note. He told Asta and Sharkie, ""This note is from a little girl. She wants to be your friend. If you want to be her friend, we can write a note to her. But you have to find another bottle so we can send it to her."" And that is what they did. Q: what was the name of the fish A: Asta. Q: What looked like a birds belly A: a bottle. Q: who said that A: Asta. Q: Was Sharkie a friend? A: Yes. Q: did they get the bottle? A: Yes. Q: What was in it A: a note. Q: Did a little boy write the note A: No. Q: Who could read the note A: Asta's papa. Q: What did they do with the note A: unknown.",did they write back,"['yes', 'yes', 'yes', 'yes']",3azhrg4cu4ktme1zh7c2ro3pn2430d_9,unknown.,1.0,3azhrg4cu4ktme1zh7c2ro3pn2430d,train
1,"My doorbell rings. On the step, I find the elderly Chinese lady, small and slight, holding the hand of a little boy. In her other hand, she holds a paper carrier bag. 

I know this lady. It is not her first visit. She is the boy's grandmother, and her daughter bought the house next door last October. 

Her daughter, Nicole, speaks fluent English. But she is now in Shanghai, and her parents are here with the little boy. Nicole has obviously told her mother that I am having heart surgery soon, so her mother has decided I need more nutrients. 

I know what is inside the bag--a thermos with hot soup and a stainless-steel container with rice, vegetables and either chicken, meat or shrimp, sometimes with a kind of pancake. This has become an almost-daily practice. 

Communication between us is somewhat affected by the fact that she doesn't speak English and all I can say in Chinese is hello. Once, she brought an iPad as well as the food. She pointed to the screen, which displayed a message from her daughter telling me that her mother wanted to know if the food was all right and whether it was too salty. I am not used to iPads, so she indicated I should go with her to her house. Then, she handed the iPad to her husband and almost immediately I found myself looking at Nicole in Shanghai and discussing her mother's cooking and salt intake. Instantly, tears welled in my eyes. 

""Your mother just can't be bringing me meals like this all the time,"" I insisted. ""I can hardly do dishes in return."" 

""Oh, no, Lucy."" Nicole said. ""Mum doesn't like western food. Don't worry about it; she has to cook for the three of them anyway, and she wants to do it."" 

The doorbell keeps ringing and there is the familiar brown paper carrier bag, handed smilingly to me. 

I am now working on some more Chinese words--it's the least I can do after such display of kindness. 

""Thank you"" is, of course, the first one. Somehow, it seems inadequate.",Who is at the door?,"['An elderly Chinese lady and a little boy', 'elderly Chinese lady', 'an elderly Chinese lady', 'elderly Chinese lady']",3ioen3p9s7jsqm9zwse0cwyj3kq612_0,"My next-door neighbor and her mother, the little boy's grandmother.",1.0,3ioen3p9s7jsqm9zwse0cwyj3kq612,train
2,"My doorbell rings. On the step, I find the elderly Chinese lady, small and slight, holding the hand of a little boy. In her other hand, she holds a paper carrier bag. 

I know this lady. It is not her first visit. She is the boy's grandmother, and her daughter bought the house next door last October. 

Her daughter, Nicole, speaks fluent English. But she is now in Shanghai, and her parents are here with the little boy. Nicole has obviously told her mother that I am having heart surgery soon, so her mother has decided I need more nutrients. 

I know what is inside the bag--a thermos with hot soup and a stainless-steel container with rice, vegetables and either chicken, meat or shrimp, sometimes with a kind of pancake. This has become an almost-daily practice. 

Communication between us is somewhat affected by the fact that she doesn't speak English and all I can say in Chinese is hello. Once, she brought an iPad as well as the food. She pointed to the screen, which displayed a message from her daughter telling me that her mother wanted to know if the food was all right and whether it was too salty. I am not used to iPads, so she indicated I should go with her to her house. Then, she handed the iPad to her husband and almost immediately I found myself looking at Nicole in Shanghai and discussing her mother's cooking and salt intake. Instantly, tears welled in my eyes. 

""Your mother just can't be bringing me meals like this all the time,"" I insisted. ""I can hardly do dishes in return."" 

""Oh, no, Lucy."" Nicole said. ""Mum doesn't like western food. Don't worry about it; she has to cook for the three of them anyway, and she wants to do it."" 

The doorbell keeps ringing and there is the familiar brown paper carrier bag, handed smilingly to me. 

I am now working on some more Chinese words--it's the least I can do after such display of kindness. 

""Thank you"" is, of course, the first one. Somehow, it seems inadequate. Q: Who is at the door? A: An elderly Chinese lady and a little boy. Q: Is she carrying something? A: Yes. Q: What? A: a paper carrier bag. Q: Do I know her? A: Yes. Q: Who is her daughter? A: Nicole. Q: Where does Nicole live? A: Shanghai. Q: How is she related to the boy? A: mother. Q: What is in the bag? A: food. Q: Has she done this before? A: Yes.",Why?,"['I am having heart surgery soon, so her mother has decided I need more nutrients', 'has become an almost-daily practice', 'she has decided the narrator needs more nutrients.', 'needs more nutrients before heart surger']",3ioen3p9s7jsqm9zwse0cwyj3kq612_9,her daughter told her to.,1.0,3ioen3p9s7jsqm9zwse0cwyj3kq612,train
3,"(CNN) -- Dennis Farina, the dapper, mustachioed cop-turned-actor best known for his tough-as-nails work in such TV series as ""Law & Order,"" ""Crime Story,"" and ""Miami Vice,"" has died. He was 69. 

""We are deeply saddened by the loss of a great actor and a wonderful man,"" said his publicist, Lori De Waal, in a statement Monday. ""Dennis Farina was always warmhearted and professional, with a great sense of humor and passion for his profession. He will be greatly missed by his family, friends and colleagues."" 

Farina, who had a long career as a police officer in Chicago, got into acting through director Michael Mann, who used him as a consultant and cast him in his 1981 movie, ""Thief."" That role led to others in such Mann-created shows as ""Miami Vice"" (in which Farina played a mobster) and ""Crime Story"" (in which he starred as Lt. Mike Torello). 

Farina also had roles, generally as either cops or gangsters, in a number of movies, including ""Midnight Run"" (1988), ""Get Shorty"" (1995), ""The Mod Squad"" (1999) and ""Snatch"" (2000). 

In 2004, he joined the cast of the long-running ""Law & Order"" after Jerry Orbach's departure, playing Detective Joe Fontana, a role he reprised on the spinoff ""Trial by Jury."" Fontana was known for flashy clothes and an expensive car, a distinct counterpoint to Orbach's rumpled Lennie Briscoe. 

Farina was on ""Law & Order"" for two years, partnered with Jesse L. Martin's Ed Green. Martin's character became a senior detective after Farina left the show.  Q: Is someone in showbiz? A: Yes. Q: Whom? A: Dennis Farina. Q: What did he do? A: Actor. Q: Is he still alive? A: No. Q: Was he in movies? A: Yes. Q: Anything recent? A: No. Q: What happened in the early 80's? A: Farina was cast in a film. Q: Who cast him? A: Michael Mann. Q: What was the title of the movie? A: ""Thief"". Q: What parts did he usually get? A: cops or gangsters. Q: What happened in 2004? A: He joined a TV show cast. Q: Which one? A: ""Law & Order"". Q: Who did he portray? A: Detective Joe Fontana.",Did he have a beater for a car?,"['No', 'no', 'no', 'no']",36v4q8r5zk0iwte84nbw2t3d0qzqmg_13,Yes.,1.0,36v4q8r5zk0iwte84nbw2t3d0qzqmg,train
4,"Kendra and Quinton travel to and from school every day. Kendra lives further from the bus stop than Quinton does, stops every morning at Quinton's house to join him to walk to the bus stop. Every afternoon, after school, when walking home from the bus stop they go in for cookies and milk that Quinton's mother has ready and waiting for them. Quinton can't eat cheese or cake so they had the same snack every day. They both work together on their homework and when they are done they play together. Kendra always makes sure to leave in time to get home for dinner. She doesn't want to miss story time which was right before bedtime. 

One morning Kendra walked up to Quinton's house, she thought something might be wrong because normally Quinton was waiting outside for her and on this morning he was not to be found. Kendra went up to the door and knocked. She waited and waited and yet no one answered. She saw that Quinton's mother's car wasn't in their driveway which was weird. She waited for a few bit looking up and down the block and getting worried when Quinton was nowhere to be found. 

Kendra didn't want to miss the bus to school and hurried off to make it in time. The bus driver saw that she was upset and that Quinton was not with her that morning. She told him what happened and he said that he was sure that everything would be okay. 

Kendra got to school, ran to her teacher and told him what happened that morning. The teacher smiled and told her not to worry, Quinton's mother had called and he was going to the dentist and would be at school after lunch and that she would see him at the bus stop like normal tomorrow. Q: Where do Quinton and Kendra travel to and from every day? A: school.",Does Quinton live further from the bus stop?,"['No', 'no', 'no', 'no']",3a1pq49wvhh8nbtgsb549nn9bzth12_1,yes.,1.0,3a1pq49wvhh8nbtgsb549nn9bzth12,train
5,"Kendra and Quinton travel to and from school every day. Kendra lives further from the bus stop than Quinton does, stops every morning at Quinton's house to join him to walk to the bus stop. Every afternoon, after school, when walking home from the bus stop they go in for cookies and milk that Quinton's mother has ready and waiting for them. Quinton can't eat cheese or cake so they had the same snack every day. They both work together on their homework and when they are done they play together. Kendra always makes sure to leave in time to get home for dinner. She doesn't want to miss story time which was right before bedtime. 

One morning Kendra walked up to Quinton's house, she thought something might be wrong because normally Quinton was waiting outside for her and on this morning he was not to be found. Kendra went up to the door and knocked. She waited and waited and yet no one answered. She saw that Quinton's mother's car wasn't in their driveway which was weird. She waited for a few bit looking up and down the block and getting worried when Quinton was nowhere to be found. 

Kendra didn't want to miss the bus to school and hurried off to make it in time. The bus driver saw that she was upset and that Quinton was not with her that morning. She told him what happened and he said that he was sure that everything would be okay. 

Kendra got to school, ran to her teacher and told him what happened that morning. The teacher smiled and told her not to worry, Quinton's mother had called and he was going to the dentist and would be at school after lunch and that she would see him at the bus stop like normal tomorrow. Q: Where do Quinton and Kendra travel to and from every day? A: school. Q: Does Quinton live further from the bus stop? A: No. Q: What do they do every afternoon after school? A: go to Quentin's house. Q: Does Quinton eat cheese? A: No.",Do they play before their homework?,"['No', 'no', 'no', 'no']",3a1pq49wvhh8nbtgsb549nn9bzth12_4,Yes.,1.0,3a1pq49wvhh8nbtgsb549nn9bzth12,train
6,"Kendra and Quinton travel to and from school every day. Kendra lives further from the bus stop than Quinton does, stops every morning at Quinton's house to join him to walk to the bus stop. Every afternoon, after school, when walking home from the bus stop they go in for cookies and milk that Quinton's mother has ready and waiting for them. Quinton can't eat cheese or cake so they had the same snack every day. They both work together on their homework and when they are done they play together. Kendra always makes sure to leave in time to get home for dinner. She doesn't want to miss story time which was right before bedtime. 

One morning Kendra walked up to Quinton's house, she thought something might be wrong because normally Quinton was waiting outside for her and on this morning he was not to be found. Kendra went up to the door and knocked. She waited and waited and yet no one answered. She saw that Quinton's mother's car wasn't in their driveway which was weird. She waited for a few bit looking up and down the block and getting worried when Quinton was nowhere to be found. 

Kendra didn't want to miss the bus to school and hurried off to make it in time. The bus driver saw that she was upset and that Quinton was not with her that morning. She told him what happened and he said that he was sure that everything would be okay. 

Kendra got to school, ran to her teacher and told him what happened that morning. The teacher smiled and told her not to worry, Quinton's mother had called and he was going to the dentist and would be at school after lunch and that she would see him at the bus stop like normal tomorrow. Q: Where do Quinton and Kendra travel to and from every day? A: school. Q: Does Quinton live further from the bus stop? A: No. Q: What do they do every afternoon after school? A: go to Quentin's house. Q: Does Quinton eat cheese? A: No. Q: Do they play before their homework? A: No. Q: What does Kendra not want to miss? A: story time. Q: When is that? A: right before bedtime. Q: What happened when Kendra knocked on Quinton's door? A: no one answered. Q: Did she see the car? A: No.",Did she miss the bus?,"['No', 'no', 'no', 'no']",3a1pq49wvhh8nbtgsb549nn9bzth12_9,Yes.,1.0,3a1pq49wvhh8nbtgsb549nn9bzth12,train
7,"(CNN) -- FBI agents on Friday night searched the Maryland home of the suspect in the recent disappearance of an American woman in Aruba, an agent said. 

The search is occurring in the Gaithersburg residence of Gary Giordano, who is currently being held in an Aruban jail, FBI Special Agent Rich Wolf told CNN. 

Agents, wearing vests that said FBI and carrying empty cardboard and plastic boxes, arrived about 8:40 p.m. Friday. About 15 unmarked cars could be seen on the street, as well as a Montgomery County police vehicle. 

Supervisory Special Agent Philip Celestini, who was at the residence, declined to comment further on the search, citing the active investigation. 

Aruban Solicitor General Taco Stein said earlier Friday that the suspect will appear in court Monday, where an investigating magistrate could order him held for at least eight more days, order him to remain on the island or release him outright due to a lack of evidence. 

Giordano was arrested by Aruban police on August 5, three days after Robyn Gardner was last seen near Baby Beach on the western tip of the Caribbean island. 

Giordano told authorities that he had been snorkeling with Gardner when he signaled to her to swim back, according to a statement. When he reached the beach, Gardner was nowhere to be found, Giordano allegedly said. 

The area that Giordano led authorities to is a rocky, unsightly location that locals say is not a popular snorkeling spot. 

Although prosecutors have continued to identify the 50-year-old American man by his initials, GVG, they also released a photo of a man who appears to be Giordano. His attorney, Michael Lopez, also has said that his client is being held as a suspect in Gardner's death. Lopez has not returned telephone calls seeking comment.  Q: Whose house was searched? A: Gary Giordano. Q: In what city? A: Gaithersburg.",County?,"['Montgomery County', 'Montgomery', 'Gaithersburg', 'Montgomery County']",3h8dhmccw9bthwa0epswnh4as77kdu_2,Maryland.,1.0,3h8dhmccw9bthwa0epswnh4as77kdu,train
8,"John: Here's a good shop. Shall we buy mother's birthday present here? Mary: Yes, that's a good idea. Shall we go inside? Tom: No. Let's look in the window. Shall we buy her a sweater? Anne: Er, no. It'll soon be summer. Let's buy her a blouse to wear. There's a nice one in the window. John: No, she has two blouses. Let's buy a ring. Mary: Oh, no! They're diamond rings. Look at the price. The cheapest is $15. John: A real diamond ring is at least $500.They only look like diamonds. Tom: Shall we buy a table? It's only $15. Anne: It doesn't look good, just like a big box. Mum likes chairs. Tom: But they haven't any here. Mary: What about a pen? So cheap! Only $10. John: She has a lot of pens and pencils. All of them are new. Tom: Oh, look here. These flowers are beautiful. Mary: They aren't real and will never die. John: And they're the cheapest of all these things. Yes, let's buy them. Anne: All right. Q: Did they go inside the shop? A: No.",What did they end up buying?,"['They bought flowers.', 'Flowers', 'Flowers', 'flowers']",3r08vxyt7cv4vn37cq8db0o9t2t7wy_1,A pen.,1.0,3r08vxyt7cv4vn37cq8db0o9t2t7wy,train
9,"John: Here's a good shop. Shall we buy mother's birthday present here? Mary: Yes, that's a good idea. Shall we go inside? Tom: No. Let's look in the window. Shall we buy her a sweater? Anne: Er, no. It'll soon be summer. Let's buy her a blouse to wear. There's a nice one in the window. John: No, she has two blouses. Let's buy a ring. Mary: Oh, no! They're diamond rings. Look at the price. The cheapest is $15. John: A real diamond ring is at least $500.They only look like diamonds. Tom: Shall we buy a table? It's only $15. Anne: It doesn't look good, just like a big box. Mum likes chairs. Tom: But they haven't any here. Mary: What about a pen? So cheap! Only $10. John: She has a lot of pens and pencils. All of them are new. Tom: Oh, look here. These flowers are beautiful. Mary: They aren't real and will never die. John: And they're the cheapest of all these things. Yes, let's buy them. Anne: All right. Q: Did they go inside the shop? A: No. Q: What did they end up buying? A: They bought flowers. Q: How much was a table? A: It's $15. Q: Did the purchase it? A: No. Q: Why not? A: It doesn't look good. Q: What season will it be soon? A: summer.",How much was the cheap diamond?,"['$15', '$15', '$15', '$15']",3r08vxyt7cv4vn37cq8db0o9t2t7wy_6,At least $500.,1.0,3r08vxyt7cv4vn37cq8db0o9t2t7wy,train
