,context,question,answers,id,rougel,hallucination,generated_answer,is_substring,gpt_hallucination,prompt,context_hash,split
0,"Once there was a beautiful fish named Asta. Asta lived in the ocean. There were lots of other fish in the ocean where Asta lived. They played all day long. 

One day, a bottle floated by over the heads of Asta and his friends. They looked up and saw the bottle. ""What is it?"" said Asta's friend Sharkie. ""It looks like a bird's belly,"" said Asta. But when they swam closer, it was not a bird's belly. It was hard and clear, and there was something inside it. 

The bottle floated above them. They wanted to open it. They wanted to see what was inside. So they caught the bottle and carried it down to the bottom of the ocean. They cracked it open on a rock. When they got it open, they found what was inside. It was a note. The note was written in orange crayon on white paper. Asta could not read the note. Sharkie could not read the note. They took the note to Asta's papa. ""What does it say?"" they asked. 

Asta's papa read the note. He told Asta and Sharkie, ""This note is from a little girl. She wants to be your friend. If you want to be her friend, we can write a note to her. But you have to find another bottle so we can send it to her."" And that is what they did. Q: what was the name of the fish A: Asta. Q: What looked like a birds belly A: a bottle. Q: who said that A: Asta. Q: Was Sharkie a friend? A: Yes. Q: did they get the bottle? A: Yes. Q: What was in it A: a note. Q: Did a little boy write the note A: No. Q: Who could read the note A: Asta's papa. Q: What did they do with the note A: unknown. Q: did they write back A: yes.",were they excited,"['unknown', 'unknown', 'unknown', 'unknown']",3azhrg4cu4ktme1zh7c2ro3pn2430d_10,0.0,1.0,no.,False,Yes,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",-6842950077396927763,train
1,"Kendra and Quinton travel to and from school every day. Kendra lives further from the bus stop than Quinton does, stops every morning at Quinton's house to join him to walk to the bus stop. Every afternoon, after school, when walking home from the bus stop they go in for cookies and milk that Quinton's mother has ready and waiting for them. Quinton can't eat cheese or cake so they had the same snack every day. They both work together on their homework and when they are done they play together. Kendra always makes sure to leave in time to get home for dinner. She doesn't want to miss story time which was right before bedtime. 

One morning Kendra walked up to Quinton's house, she thought something might be wrong because normally Quinton was waiting outside for her and on this morning he was not to be found. Kendra went up to the door and knocked. She waited and waited and yet no one answered. She saw that Quinton's mother's car wasn't in their driveway which was weird. She waited for a few bit looking up and down the block and getting worried when Quinton was nowhere to be found. 

Kendra didn't want to miss the bus to school and hurried off to make it in time. The bus driver saw that she was upset and that Quinton was not with her that morning. She told him what happened and he said that he was sure that everything would be okay. 

Kendra got to school, ran to her teacher and told him what happened that morning. The teacher smiled and told her not to worry, Quinton's mother had called and he was going to the dentist and would be at school after lunch and that she would see him at the bus stop like normal tomorrow. Q: Where do Quinton and Kendra travel to and from every day? A: school. Q: Does Quinton live further from the bus stop? A: No. Q: What do they do every afternoon after school? A: go to Quentin's house. Q: Does Quinton eat cheese? A: No.",Do they play before their homework?,"['No', 'no', 'no', 'no']",3a1pq49wvhh8nbtgsb549nn9bzth12_4,0.0,1.0,Yes.,False,Yes.,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",3000852221424092742,train
4,"Which country grows the most tea? The answer is India. It grows three times as much as China. Which country drinks the most tea? It's neither China nor Japan. It's Great Britain. In the wild, tea plants may be 30 feet tall. But a plant grown for market is pruned. Pruning keeps the plant only three or four feet tall. This is an easy height for tea picking. Only the two top leaves and bud of each new shoot are picked. So to make money, tea plantations must be huge. In general, there are two kinds of tea. Black tea and green tea. Black tea is fermented. In the process, the tea loses nearly all of its healthy qualities. Green tea is steamed right after the leaves are picked. Green tea _ its healthy qualities. For example, it may prevent heart disease. How did we get tea bag? The answer: by accident. Tea merchants used to send samples in tin boxes. This was costly. One merchant thought of a cheaper way. He sent samples in small silk bags. Customers would cut open the bag. They would brew the leaves as usual. One customer put the bag into a pot. Then he just poured hot water over it. And the tea bag was born. Shen Nong was the first to drink tea. (Shen was a Chinese emperor.) This was about 2737 B.C. Shen had bad digestion. So he drank several cups of hot water daily. One day something happened. Leaves from a wild tea tree fell into the hot water pot. The next cup was poured. The water was now colored. Shen sipped it. He liked it. He drank it all. Shen was proud of his new drink. He served it to his guests. Word spread. People thought this way. Tea is good enough for the Emperor. So it must be good enough for the people. Tea became the drink of China. Q: Which country consumes tea the most? A: Great Britain. Q: Which country grows it the most? A: India. Q: How tall is the tea plant? A: may be 30 feet tall. Q: What did they do to green tea after picking it? A: prune it. Q: What good thing do the tea do to the health? A: may prevent heart disease. Q: How was the tea created? A: by accident. Q: Who took the tea first? A: Shen Nong. Q: When did he take it? A: about 2737 B.C. Q: Was he happy with it? A: yes.",How did his body react to the tea?,"['unknown', 'unknown', 'unknown', 'unknown']",3tu5zicbrd13b4c4am1dxb2igltq8b_9,0.0,1.0,bad digestion.,False,Yes,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",8113698914379298360,train
5,"OCLC, currently incorporated as OCLC Online Computer Library Center, Incorporated, is an American nonprofit cooperative organization ""dedicated to the public purposes of furthering access to the world's information and reducing information costs"". It was founded in 1967 as the Ohio College Library Center. OCLC and its member libraries cooperatively produce and maintain WorldCat, the largest online public access catalog (OPAC) in the world. OCLC is funded mainly by the fees that libraries have to pay for its services (around $200 million annually ). 

OCLC began in 1967, as the Ohio College Library Center, through a collaboration of Ohio university presidents, vice presidents, and library directors who wanted to create a cooperative, computerized network for Ohio libraries. The group first met on July 5, 1967 on the campus of the Ohio State University to sign the articles of incorporation for the nonprofit organization. The group hired Frederick G. Kilgour, a former Yale University medical school librarian, to design the shared cataloging system. Kilgour wished to merge the latest information storage and retrieval system of the time, the computer, with the oldest, the library. The plan was to merge the catalogs of Ohio libraries electronically through a computer network and database to streamline operations, control costs, and increase efficiency in library management. The goal of this network and database was to bring libraries together to cooperatively keep track of the world's information to best serve researchers and scholars. The first library to do online cataloging through OCLC was the Alden Library at Ohio University on August 26, 1971. This was the first occurrence of online cataloging by any library worldwide. Q: What is the main topic? A: OCLC.",What does it stand for?,"['Online Computer Library Center', 'Online Computer Library Center', 'Online Computer Library Center', 'OCLC Online Computer Library Center']",3eqhhy4hqsstbxzo9spyrdop9ks5gr_1,0.1818181818181818,1.0,OCLC. (Does not answer the question),False,Yes,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",4937643581271283077,train
6,"OCLC, currently incorporated as OCLC Online Computer Library Center, Incorporated, is an American nonprofit cooperative organization ""dedicated to the public purposes of furthering access to the world's information and reducing information costs"". It was founded in 1967 as the Ohio College Library Center. OCLC and its member libraries cooperatively produce and maintain WorldCat, the largest online public access catalog (OPAC) in the world. OCLC is funded mainly by the fees that libraries have to pay for its services (around $200 million annually ). 

OCLC began in 1967, as the Ohio College Library Center, through a collaboration of Ohio university presidents, vice presidents, and library directors who wanted to create a cooperative, computerized network for Ohio libraries. The group first met on July 5, 1967 on the campus of the Ohio State University to sign the articles of incorporation for the nonprofit organization. The group hired Frederick G. Kilgour, a former Yale University medical school librarian, to design the shared cataloging system. Kilgour wished to merge the latest information storage and retrieval system of the time, the computer, with the oldest, the library. The plan was to merge the catalogs of Ohio libraries electronically through a computer network and database to streamline operations, control costs, and increase efficiency in library management. The goal of this network and database was to bring libraries together to cooperatively keep track of the world's information to best serve researchers and scholars. The first library to do online cataloging through OCLC was the Alden Library at Ohio University on August 26, 1971. This was the first occurrence of online cataloging by any library worldwide. Q: What is the main topic? A: OCLC. Q: What does it stand for? A: Online Computer Library Center. Q: When did it begin? A: 1967.",Was it founded the same year?,"['Yes', 'yes', 'Yes.', 'yes']",3eqhhy4hqsstbxzo9spyrdop9ks5gr_3,0.0,1.0,No.,False,Yes.,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",4937643581271283077,train
12,"CHAPTER XXII 

Northward, along the leeward coast of Malaita, the _Ariel_ worked her leisurely way, threading the colour-riotous lagoon that lay between the shore-reefs and outer-reefs, daring passages so narrow and coral-patched that Captain Winters averred each day added a thousand grey hairs to his head, and dropping anchor off every walled inlet of the outer reef and every mangrove swamp of the mainland that looked promising of cannibal life. For Harley and Villa Kennan were in no hurry. So long as the way was interesting, they dared not how long it proved from anywhere to anywhere. 

During this time Jerry learned a new name for himself--or, rather, an entire series of names for himself. This was because of an aversion on Harley Kennan's part against renaming a named thing. 

""A name he must have had,"" he argued to Villa. ""Haggin must have named him before he sailed on the _Arangi_. Therefore, nameless he must be until we get back to Tulagi and find out his real name."" 

""What's in a name?"" Villa had begun to tease. 

""Everything,"" her husband retorted. ""Think of yourself, shipwrecked, called by your rescuers 'Mrs. Riggs,' or 'Mademoiselle de Maupin,' or just plain 'Topsy.' And think of me being called 'Benedict Arnold,' or ' Judas,' or . . . or . . . 'Haman.' No, keep him nameless, until we find out his original name."" 

""Must call him something,"" she objected. ""Can't think of him without thinking something."" 

""Then call him many names, but never the same name twice. Call him 'Dog' to-day, and 'Mister Dog' to-morrow, and the next day something else.""  Q: What worked her way northward? A: The _Ariel_. Q: What lay between the shore-reefs and outer-reefs? A: Lagoon. Q: Were the passages wide? A: No. Q: Who was the Captain? A: Winters. Q: Did he have red hair? A: No. Q: Were Harley and Villa in a hurry? A: No. Q: What coast did the Ariel work her way up leisurely? A: Malaita. Q: Who argued to Villa that he must have a name? A: Harley Kennan. Q: Who began to tease Harley? A: Villa. Q: What ship had Haggin sailed on? A: The Arangi. Q: How long must he be nameless until? A: Until they get back to Tulagi. Q: Who was the husband she retorted something to? A: Harley Kennan. Q: Did she tell him to think of himself being in an airplane crash? A: No. Q: What would an awkward name to be called by rescuers be? A: 'Mrs. Riggs'. Q: What's another one? A: 'Topsy'. Q: How about a third one? A: 'Mademoiselle de Maupin'. Q: Did she ask Villa to think of her being called Jesus? A: No. Q: Was there a lot of coral in the lagoon? A: Yes. Q: Where did the Ariel drop anchor off of? A: Every walled inlet of the outer reef and every mangrove swamp of the mainland that looked promising of cannibal life.",Were there cannibals?,"['unknown', 'unknown', 'yes', 'yes']",3w2lolrxlbfni6t5wqngs6le78akrc_19,0.0,1.0,Looked promising.,False,Yes,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",6264174907978309327,train
20,"CHAPTER FIFTY FIVE. 

WAITING. 

The lengthening sunny days went on without bringing either what Romola most desired or what she most dreaded. They brought no sign from Baldassarre, and, in spite of special watch on the part of the Government, no revelation of the suspected conspiracy. But they brought other things which touched her closely, and bridged the phantom-crowded space of anxiety with active sympathy in immediate trial. They brought the spreading Plague and the Excommunication of Savonarola. 

Both these events tended to arrest her incipient alienation from the Frate, and to rivet again her attachment to the man who had opened to her the new life of duty, and who seemed now to be worsted in the fight for principle against profligacy. For Romola could not carry from day to day into the abodes of pestilence and misery the sublime excitement of a gladness that, since such anguish existed, she too existed to make some of the anguish less bitter, without remembering that she owed this transcendent moral life to Fra Girolamo. She could not witness the silencing and excommunication of a man whose distinction from the great mass of the clergy lay, not in any heretical belief, not in his superstitions, but in the energy with which he sought to make the Christian life a reality, without feeling herself drawn strongly to his side. 

Far on in the hot days of June the Excommunication, for some weeks arrived from Rome, was solemnly published in the Duomo. Romola went to witness the scene, that the resistance it inspired might invigorate that sympathy with Savonarola which was one source of her strength. It was in memorable contrast with the scene she had been accustomed to witness there.  Q: Who was excommunicated? A: Fra Girolamo. Q: Was he a heretic? A: no. Q: Was he superstitious? A: no. Q: Why was he excommunicated then? A: unknown. Q: Who was inspired by this man? A: Romola. Q: Where was the Excommunication published? A: in the Duomo. Q: When? A: June. Q: How long was it published? A: for some weeks. Q: What was Romola looking for? A: a sign from Baldassarre. Q: What else was she looking for? A: sympathy with Savonarola. Q: What did the summer days bring? A: Plague.",Who was she alienated from?,"['the Frate', 'the Frate', 'the Frate', 'Frate']",3txd01zld4hukwwjfsv5q0j2ixa4ul_11,0.0,1.0,not specified.,False,Yes,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",-8430183826933958849,train
25,"Buckinghamshire ( or ), abbreviated Bucks, is a county in South East England which borders Greater London to the south east, Berkshire to the south, Oxfordshire to the west, Northamptonshire to the north, Bedfordshire to the north east and Hertfordshire to the east. 

Buckinghamshire is one of the home counties and towns such as High Wycombe, Amersham, Chesham and the Chalfonts in the east and southeast of the county are parts of the London commuter belt, forming some of the most densely-populated parts of the county. Development in this region is restricted by the Metropolitan Green Belt. Other large settlements include the county town of Aylesbury, Marlow in the south near the Thames and Princes Risborough in the west near Oxford. Some areas without direct rail links to London, such as around the old county town of Buckingham and near Olney in the northeast, are much less populous. The largest town is Milton Keynes in the northeast, which with the surrounding area is administered as a unitary authority separately to the rest of Buckinghamshire. The remainder of the county is administered by Buckinghamshire County Council as a non-metropolitan county, and four district councils. In national elections, Buckinghamshire is considered a reliable supporter of the Conservative Party. Q: what county is this article discussing A: Buckinghamshire. Q: where is it located A: South East England. Q: what borders it to the southeast A: Greater London. Q: to south? A: Berkshire. Q: west? A: Oxfordshire. Q: north? A: Northamptonshire. Q: and East? A: Hertfordshire. Q: what is located in the east and southeast of the county A: High Wycombe, Amersham, Chesham and the Chalfonts.","what kind of thing, not place?","['London commuter belt', 'towns', 'the London commuter belt', 'parts of the London commuter belt']",34t446b1c0ehzexia0n3kr7junmc06_8,0.2857142857142857,1.0,Parts.,False,Yes,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",-6637345006348808897,train
30,"CHAPTER XVII: MACHINATIONS 

""Baby born to woe."" 

F. T. PALGRAVE. 

When Anne Woodford began to wake from the constant thought of the grief and horror she had left at Portchester, and to feel more alive to her surroundings and less as if they were a kind of dream, in which she only mechanically took her part, one thing impressed itself on her gradually, and that was disappointment. If the previous shock had not blunted all her hopes and aspirations, perhaps she would have felt it sooner and more keenly; but she could not help realising that she had put herself into an inferior position whence there did not seem to be the promotion she had once anticipated. Her companion rockers were of an inferior grade to herself. Jane Humphreys was a harmless but silly girl, not much wiser, though less spoilt, than poor little Madam, and full of Cockney vulgarities. Education was unfashionable just then, and though Hester Bridgeman was bettor born and bred, being the daughter of an attorney in the city, she was not much better instructed, and had no pursuits except that of her own advantage. Pauline Dunord was by far the best of the three, but she seemed to live a life apart, taking very little interest in her companions or anything around her except her devotions and the bringing them over to her Church. The nursery was quite a separate establishment; there was no mingling with the guests of royalty, who were only seen in excited peeps from the window, or when solemnly introduced to the presence chamber to pay their respects to the Prince. As to books, the only secular one that Anne saw while at Whitehall was an odd volume of Parthenissa. The late King's summary of the Roman controversy was to be had in plenty, and nothing was more evident than that the only road to favour or promotion was in being thereby convinced.  Q: who was Anne's companion A: rockers. Q: what was the only secular book she saw while at whitehall? A: an odd volume of Parthenissa. Q: what feeling impressed upon Anne? A: she had put herself into an inferior position. Q: what place had she left? A: t Portchester. Q: did she think her companion was superior? A: no. Q: what did she leave at Portchester? A: the constant thought of the grief and horror. Q: was the nursery connected or separate? A: separate. Q: what was Pauline devoted to? A: her Church. Q: who used a lot of Cockney vulgarities? A: Jane Humphreys. Q: was she threatening? A: no. Q: was she serious or silly? A: silly. Q: how many rockers were there in total? A: four.",was Heter Bridgeman one of them?,"['.yes', 'yes', 'Hester Bridgeman', 'yes']",3strjbfxowr0yl6x0fsbslmwvuztks_12,0.0,1.0,no.,False,Yes.,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",-4859335082508860715,train
32,"Brendan loves cats. He owns 8 cats. He has 7 girl cats and only 1 boy cat. Brendan brushes the cats' hair every day. He makes sure to feed them every morning and evening and always checks to see if the cats have water. Sometimes he feeds them special treats because he loves them. Each cat gets 3 treats. He doesn't give them food like chips and cake and candy, because those foods aren't good for cats. He likes to play with the cats. The cats like to chase balls of paper that Brendan makes for them. Some of his cats have orange fur, some have black fur, some are spotted and one is white. The white cat is Brendan's favorite. She is the first cat he owned. Her name is Snowball. When he first got Snowball she was a kitten. His other cats are named Fluffy, Salem, Jackie, Cola, Snickers, Pumpkin and Whiskers. Q: What does he care for? A: cats. Q: How many does he have? A: Eight. Q: Are there more males or females? A: females. Q: How many? A: 7 girl cats and only 1 boy cat. Q: What is groomed? A: cat's hair.",What do they get fed?,"['treats', 'special treats', 'special treats', 'special treats']",3z3zlgnnsiuha76yy56h6uu707qq3o_5,0.0,1.0,Their food.,False,Yes,"You will be provided with a passage followed by a series of questions and answers based on the passage. Please review the passage carefully and remember its details. Respond in the same style as the previous answers for the final question. Ensure that your answer is strictly based on the information provided in the passage. Provide the shortest possible full correct answer, containing only the essential information directly related to the question. Do not provide any additional comments, explanations, or introductory clauses. 
 Context: {} Q: {} A:",3320905422738707601,train
