,Unnamed: 0.1,Unnamed: 0,id,title,context,question,answers,hallucination,generated_answer,context_id,prompt,split
27,27,27,56e17644e3433e1400422f41,Computational_complexity_theory,"Closely related fields in theoretical computer science are analysis of algorithms and computability theory. A key distinction between analysis of algorithms and computational complexity theory is that the former is devoted to analyzing the amount of resources needed by a particular algorithm to solve a problem, whereas the latter asks a more general question about all possible algorithms that could be used to solve the same problem. More precisely, it tries to classify problems that can or cannot be solved with appropriately restricted resources. In turn, imposing restrictions on the available resources is what distinguishes computational complexity from computability theory: the latter theory asks what kind of problems can, in principle, be solved algorithmically.",What field of computer science analyzes the resource requirements of a specific algorithm isolated unto itself within a given problem?,['analysis of algorithms'],False,Analysis of Algorithms.,120,"Given the context, answer the question in a single brief but complete sentence. Note that your answer should be strictly based on the given context.In case the context does not contain the necessary information to answer the question, please reply with: ""Unable to answer based on given context. ""Context: {}
Question: {}
Answer:",train
901,901,901,573784fa1c45671900574483,Force,"What we now call gravity was not identified as a universal force until the work of Isaac Newton. Before Newton, the tendency for objects to fall towards the Earth was not understood to be related to the motions of celestial objects. Galileo was instrumental in describing the characteristics of falling objects by determining that the acceleration of every object in free-fall was constant and independent of the mass of the object. Today, this acceleration due to gravity towards the surface of the Earth is usually designated as  and has a magnitude of about 9.81 meters per second squared (this measurement is taken from sea level and may vary depending on location), and points toward the center of the Earth. This observation means that the force of gravity on an object at the Earth's surface is directly proportional to the object's mass. Thus an object that has a mass of  will experience a force:",Who identified gravity as a force?,['Isaac Newton'],False,Isaac Newton,849,"Given the context, answer the question in a single brief but complete sentence. Note that your answer should be strictly based on the given context.In case the context does not contain the necessary information to answer the question, please reply with: ""Unable to answer based on given context. ""Context: {}
Question: {}
Answer:",train
1510,1510,1510,5ad3b911604f3c001a3fee67,French_and_Indian_War,"Vaudreuil and Montcalm were minimally resupplied in 1758, as the British blockade of the French coastline limited French shipping. The situation in New France was further exacerbated by a poor harvest in 1757, a difficult winter, and the allegedly corrupt machinations of François Bigot, the intendant of the territory. His schemes to supply the colony inflated prices and were believed by Montcalm to line his pockets and those of his associates. A massive outbreak of smallpox among western tribes led many of them to stay away from trading in 1758. While many parties to the conflict blamed others (the Indians blamed the French for bringing ""bad medicine"" as well as denying them prizes at Fort William Henry), the disease was probably spread through the crowded conditions at William Henry after the battle. Montcalm focused his meager resources on the defense of the St. Lawrence, with primary defenses at Carillon, Quebec, and Louisbourg, while Vaudreuil argued unsuccessfully for a continuation of the raiding tactics that had worked quite effectively in previous years.",Where was Montcalm focusing the offense for New France?,[],True,"Based on the given context, Montcalm was focusing the defense of the St. Lawrence, with primary defenses at Carillon, Quebec, and Louisbourg.",831,"Given the context, answer the question in a single brief but complete sentence. Note that your answer should be strictly based on the given context.In case the context does not contain the necessary information to answer the question, please reply with: ""Unable to answer based on given context. ""Context: {}
Question: {}
Answer:",train
153,153,153,5710e8c8a58dae1900cd6b26,Huguenot,"After this, Huguenots (with estimates ranging from 200,000 to 1,000,000) fled to surrounding Protestant countries: England, the Netherlands, Switzerland, Norway, Denmark, and Prussia — whose Calvinist Great Elector Frederick William welcomed them to help rebuild his war-ravaged and underpopulated country. Following this exodus, Huguenots remained in large numbers in only one region of France: the rugged Cévennes region in the south. In the early 18th century, a regional group known as the Camisards who were Huguenots rioted against the Catholic Church in the region, burning churches and killing clergy. It took French troops years to hunt down and destroy all the bands of Camisards, between 1702 and 1709.",Which central European country had a Calvinist ruler?,"['Great Elector Frederick William', 'Prussia']",False,Prussia,42,"Given the context, answer the question in a single brief but complete sentence. Note that your answer should be strictly based on the given context.In case the context does not contain the necessary information to answer the question, please reply with: ""Unable to answer based on given context. ""Context: {}
Question: {}
Answer:",train
758,758,758,572fad30a23a5019007fc870,Scottish_Parliament,"During this time, the discovery of oil in the North Sea and the following ""It's Scotland's oil"" campaign of the Scottish National Party (SNP) resulted in rising support for Scottish independence, as well as the SNP. The party argued that the revenues from the oil were not benefitting Scotland as much as they should. The combined effect of these events led to Prime Minister Wilson committing his government to some form of devolved legislature in 1974. However, it was not until 1978 that final legislative proposals for a Scottish Assembly were passed by the United Kingdom Parliament.",When did Prime Minister Wilson commit to some form of devolved legislature?,['1974'],False,1974.,159,"Given the context, answer the question in a single brief but complete sentence. Note that your answer should be strictly based on the given context.In case the context does not contain the necessary information to answer the question, please reply with: ""Unable to answer based on given context. ""Context: {}
Question: {}
Answer:",train
81,81,81,570614ff52bb89140068988b,Southern_California,"College sports are also popular in southern California. The UCLA Bruins and the USC Trojans both field teams in NCAA Division I in the Pac-12 Conference, and there is a longtime rivalry between the schools.",The Bruins belong to which college?,['UCLA'],False,UCLA.,121,"Given the context, answer the question in a single brief but complete sentence. Note that your answer should be strictly based on the given context.In case the context does not contain the necessary information to answer the question, please reply with: ""Unable to answer based on given context. ""Context: {}
Question: {}
Answer:",train
1380,1380,1380,5ad0301577cf76001a686db5,Imperialism,"The concept environmental determinism served as a moral justification for domination of certain territories and peoples. It was believed that a certain person's behaviours were determined by the environment in which they lived and thus validated their domination. For example, people living in tropical environments were seen as ""less civilized"" therefore justifying colonial control as a civilizing mission. Across the three waves of European colonialism (first in the Americas, second in Asia and lastly in Africa), environmental determinism was used to categorically place indigenous people in a racial hierarchy. This takes two forms, orientalism and tropicality.",What was not thought to decide a person's behavior?,[],True,"Based on the given context, it was not thought that a person's behavior was decided by their culture.",660,"Given the context, answer the question in a single brief but complete sentence. Note that your answer should be strictly based on the given context.In case the context does not contain the necessary information to answer the question, please reply with: ""Unable to answer based on given context. ""Context: {}
Question: {}
Answer:",train
594,594,594,57286d7d4b864d19001649e4,University_of_Chicago,"In the arts and entertainment, minimalist composer Philip Glass, dancer, choreographer and leader in the field of dance anthropology Katherine Dunham, Bungie founder and developer of the Halo video game series Alex Seropian, Serial host Sarah Koenig, actor Ed Asner, Pulitzer Prize for Criticism winning film critic and the subject of the 2014 documentary film Life Itself Roger Ebert, director, writer, and comedian Mike Nichols, film director and screenwriter Philip Kaufman, and Carl Van Vechten, photographer and writer, are graduates.",What comedian is also a university graduate?,['Mike Nichols'],False,Mike Nichols.,339,"Given the context, answer the question in a single brief but complete sentence. Note that your answer should be strictly based on the given context.In case the context does not contain the necessary information to answer the question, please reply with: ""Unable to answer based on given context. ""Context: {}
Question: {}
Answer:",test
526,526,526,57280fd3ff5b5019007d9c26,"Jacksonville,_Florida","French Huguenot explorer Jean Ribault charted the St. Johns River in 1562 calling it the River of May because he discovered it in May. Ribault erected a stone column near present-day Jacksonville claiming the newly discovered land for France. In 1564, René Goulaine de Laudonnière established the first European settlement, Fort Caroline, on the St. Johns near the main village of the Saturiwa. Philip II of Spain ordered Pedro Menéndez de Avilés to protect the interest of Spain by attacking the French presence at Fort Caroline. On September 20, 1565, a Spanish force from the nearby Spanish settlement of St. Augustine attacked Fort Caroline, and killed nearly all the French soldiers defending it. The Spanish renamed the fort San Mateo, and following the ejection of the French, St. Augustine's position as the most important settlement in Florida was solidified. The location of Fort Caroline is subject to debate but a reconstruction of the fort was established on the St. Johns River in 1964.",Who mapped the St. Johns River in 1562?,['Jean Ribault'],False,Jean Ribault.,206,"Given the context, answer the question in a single brief but complete sentence. Note that your answer should be strictly based on the given context.In case the context does not contain the necessary information to answer the question, please reply with: ""Unable to answer based on given context. ""Context: {}
Question: {}
Answer:",train
1487,1487,1487,5ad3af4e604f3c001a3fec73,French_and_Indian_War,"Jacques Legardeur de Saint-Pierre, who succeeded Marin as commander of the French forces after the latter died on October 29, invited Washington to dine with him. Over dinner, Washington presented Saint-Pierre with the letter from Dinwiddie demanding an immediate French withdrawal from the Ohio Country. Saint-Pierre said, ""As to the Summons you send me to retire, I do not think myself obliged to obey it."" He told Washington that France's claim to the region was superior to that of the British, since René-Robert Cavelier, Sieur de La Salle had explored the Ohio Country nearly a century earlier.",Who uninvited Washington to dine with him?,[],True,Jacques Legardeur de Saint-Pierre uninvited Washington to dine with him.,377,"Given the context, answer the question in a single brief but complete sentence. Note that your answer should be strictly based on the given context.In case the context does not contain the necessary information to answer the question, please reply with: ""Unable to answer based on given context. ""Context: {}
Question: {}
Answer:",train
