,id,title,context,question,answers,prompt,generated_answer,hallucination,source_id,context_hash,split
0,56de15104396321400ee25b7,Normans,"A few years after the First Crusade, in 1107, the Normans under the command of Bohemond, Robert's son, landed in Valona and besieged Dyrrachium using the most sophisticated military equipment of the time, but to no avail. Meanwhile, they occupied Petrela, the citadel of Mili at the banks of the river Deabolis, Gllavenica (Ballsh), Kanina and Jericho. This time, the Albanians sided with the Normans, dissatisfied by the heavy taxes the Byzantines had imposed upon them. With their help, the Normans secured the Arbanon passes and opened their way to Dibra. The lack of supplies, disease and Byzantine resistance forced Bohemond to retreat from his campaign and sign a peace treaty with the Byzantines in the city of Deabolis.",Where did the Normans and Byzantines sign the peace treaty?,['Deabolis'],"Given the context, answer the question in a single brief but complete sentence. 
",The Normans and Byzantines signed the peace treaty in the city of Dibra.,1.0,56de15104396321400ee25b,-6383879426715085671,train
1,56e181d9e3433e1400422fa0,Computational_complexity_theory,"When considering computational problems, a problem instance is a string over an alphabet. Usually, the alphabet is taken to be the binary alphabet (i.e., the set {0,1}), and thus the strings are bitstrings. As in a real-world computer, mathematical objects other than bitstrings must be suitably encoded. For example, integers can be represented in binary notation, and graphs can be encoded directly via their adjacency matrices, or by encoding their adjacency lists in binary.","In a computational problem, what can be described as a string over an alphabet?","['problem instance', 'a problem instance']","Given the context, answer the question in a single brief but complete sentence. 
","In a computational problem, any mathematical object can be suitably encoded and described as a string over the binary alphabet, including integers, graphs, and other complex data structures.",1.0,56e181d9e3433e1400422fa,8095304227445324912,train
2,56e181d9e3433e1400422fa2,Computational_complexity_theory,"When considering computational problems, a problem instance is a string over an alphabet. Usually, the alphabet is taken to be the binary alphabet (i.e., the set {0,1}), and thus the strings are bitstrings. As in a real-world computer, mathematical objects other than bitstrings must be suitably encoded. For example, integers can be represented in binary notation, and graphs can be encoded directly via their adjacency matrices, or by encoding their adjacency lists in binary.",What is another term for the string of a problem instance?,['bitstrings'],"Given the context, answer the question in a single brief but complete sentence. 
","Another term for the string of a problem instance is a ""problem scenario.""",1.0,56e181d9e3433e1400422fa,8095304227445324912,train
3,56e19724cd28a01900c679f9,Computational_complexity_theory,"A function problem is a computational problem where a single output (of a total function) is expected for every input, but the output is more complex than that of a decision problem, that is, it isn't just yes or no. Notable examples include the traveling salesman problem and the integer factorization problem.","In addition to the traveling salesman problem, what is another example of a function problem?","['the integer factorization problem', 'integer factorization problem', 'integer factorization']","Given the context, answer the question in a single brief but complete sentence. 
","Another example of a function problem is the knapsack problem, which involves finding the optimal way to pack a set of items of different sizes and values into a limited capacity knapsack.",1.0,56e19724cd28a01900c679f,-7879187956675484039,test
4,56e1b169cd28a01900c67a72,Computational_complexity_theory,"Many machine models different from the standard multi-tape Turing machines have been proposed in the literature, for example random access machines. Perhaps surprisingly, each of these models can be converted to another without providing any extra computational power. The time and memory consumption of these alternate models may vary. What all these models have in common is that the machines operate deterministically.",What is an example of a machine model that deviates from a generally accepted multi-tape Turing machine?,['random access machines'],"Given the context, answer the question in a single brief but complete sentence. 
","An example of a machine model that deviates from a generally accepted multi-tape Turing machine is a non-deterministic Turing machine, which allows for randomization in the computation process.",1.0,56e1b169cd28a01900c67a7,-338292717238653428,train
5,56e1b169cd28a01900c67a73,Computational_complexity_theory,"Many machine models different from the standard multi-tape Turing machines have been proposed in the literature, for example random access machines. Perhaps surprisingly, each of these models can be converted to another without providing any extra computational power. The time and memory consumption of these alternate models may vary. What all these models have in common is that the machines operate deterministically.","In considering Turing machines and alternate variables, what measurement left unaffected by conversion between machine models? ",['computational power'],"Given the context, answer the question in a single brief but complete sentence. 
",The computation time of Turing machines is left unaffected by conversion between machine models.,1.0,56e1b169cd28a01900c67a7,-338292717238653428,train
6,56e1c0f6cd28a01900c67b2d,Computational_complexity_theory,"Of course, some complexity classes have complicated definitions that do not fit into this framework. Thus, a typical complexity class has a definition like the following:",Complexity classes are generally classified into what?,['framework'],"Given the context, answer the question in a single brief but complete sentence. 
","Complexity classes are generally classified into three main categories: time complexity, space complexity, and miscellaneous complexity classes.",1.0,56e1c0f6cd28a01900c67b2,6086221933327312107,train
7,56e1c3e1e3433e1400423149,Computational_complexity_theory,Many important complexity classes can be defined by bounding the time or space used by the algorithm. Some important complexity classes of decision problems defined in this manner are the following:,What function is used by algorithms to define measurements like time or space?,['bounding'],"Given the context, answer the question in a single brief but complete sentence. 
","The function used by algorithms to define measurements like time or space is the complexity class, which is a mathematical framework for defining and studying the computational resources required to solve a decision problem.",1.0,56e1c3e1e3433e140042314,-4648394800767424139,train
8,56e1c720e3433e140042316a,Computational_complexity_theory,"For the complexity classes defined in this way, it is desirable to prove that relaxing the requirements on (say) computation time indeed defines a bigger set of problems. In particular, although DTIME(n) is contained in DTIME(n2), it would be interesting to know if the inclusion is strict. For time and space requirements, the answer to such questions is given by the time and space hierarchy theorems respectively. They are called hierarchy theorems because they induce a proper hierarchy on the classes defined by constraining the respective resources. Thus there are pairs of complexity classes such that one is properly included in the other. Having deduced such proper set inclusions, we can proceed to make quantitative statements about how much more additional time or space is needed in order to increase the number of problems that can be solved.",What is an example of a measurement within a complexity class that would create a bigger set of problems if the bounds were relaxed?,['computation time'],"Given the context, answer the question in a single brief but complete sentence. 
",An example of a measurement within the complexity class DTIME(n) that would create a bigger set of problems if the bounds were relaxed is the number of steps required to solve a given problem.,1.0,56e1c720e3433e140042316,4266002506471236280,train
9,56e1c7e2cd28a01900c67b76,Computational_complexity_theory,"The time and space hierarchy theorems form the basis for most separation results of complexity classes. For instance, the time hierarchy theorem tells us that P is strictly contained in EXPTIME, and the space hierarchy theorem tells us that L is strictly contained in PSPACE.",Within what variable is L constrained according to the space hierarchy theorem?,['PSPACE'],"Given the context, answer the question in a single brief but complete sentence. 
","According to the space hierarchy theorem, L is constrained within the variable of space.",1.0,56e1c7e2cd28a01900c67b7,7641677466219758551,train
