,id,title,context,question,answers,generated_answer,hallucination,prompt,correctness,context_hash,split
0,56de49a8cffd8e1900b4b7a7,Normans,"Bethencourt took the title of King of the Canary Islands, as vassal to Henry III of Castile. In 1418, Jean's nephew Maciot de Bethencourt sold the rights to the islands to Enrique Pérez de Guzmán, 2nd Count de Niebla.",Who became the King of the Canary Islands?,['Bethencourt'],The title of King of the Canary Islands was taken by Henry III of Castile.,1.0,"Given the context, answer the question in a single brief but complete sentence. 
",,3455253896794992608,test
1,56de4c324396321400ee27ab,Normans,"By far the most famous work of Norman art is the Bayeux Tapestry, which is not a tapestry but a work of embroidery. It was commissioned by Odo, the Bishop of Bayeux and first Earl of Kent, employing natives from Kent who were learned in the Nordic traditions imported in the previous half century by the Danish Vikings.",What kind of needlework was used in the creation of the Bayeux Tapestry?,['embroidery'],The Bayeux Tapestry was created using needlework.,1.0,"Given the context, answer the question in a single brief but complete sentence. 
",,2311178130948493541,train
2,56e17e6ee3433e1400422f7f,Computational_complexity_theory,"To further highlight the difference between a problem and an instance, consider the following instance of the decision version of the traveling salesman problem: Is there a route of at most 2000 kilometres passing through all of Germany's 15 largest cities? The quantitative answer to this particular problem instance is of little use for solving other instances of the problem, such as asking for a round trip through all sites in Milan whose total length is at most 10 km. For this reason, complexity theory addresses computational problems and not particular problem instances.",By how many kilometers does the traveling salesman problem seek to classify a route between the 15 largest cities in Germany?,['2000'],The traveling salesman problem seeks to find the shortest route between the 15 largest cities in Germany.,1.0,"Given the context, answer the question in a single brief but complete sentence. 
",,-1560324324839985853,train
3,56e181d9e3433e1400422fa0,Computational_complexity_theory,"When considering computational problems, a problem instance is a string over an alphabet. Usually, the alphabet is taken to be the binary alphabet (i.e., the set {0,1}), and thus the strings are bitstrings. As in a real-world computer, mathematical objects other than bitstrings must be suitably encoded. For example, integers can be represented in binary notation, and graphs can be encoded directly via their adjacency matrices, or by encoding their adjacency lists in binary.","In a computational problem, what can be described as a string over an alphabet?","['problem instance', 'a problem instance']","In a computational problem, a string over an alphabet can be described as a bitstring, which is a sequence of binary digits representing objects in a real-world computer.",1.0,"Given the context, answer the question in a single brief but complete sentence. 
",,8095304227445324912,train
4,56e19557e3433e1400422ff0,Computational_complexity_theory,"An example of a decision problem is the following. The input is an arbitrary graph. The problem consists in deciding whether the given graph is connected, or not. The formal language associated with this decision problem is then the set of all connected graphs—of course, to obtain a precise definition of this language, one has to decide how graphs are encoded as binary strings.",What is the term for the set of all connected graphs related to this decision problem?,"['formal language', 'The formal language associated with this decision problem', 'The formal language']","The term for the set of all connected graphs related to this decision problem is called the language of connected graphs, which refers to the set of graphs that can be encoded as binary strings.",1.0,"Given the context, answer the question in a single brief but complete sentence. 
",,85999984168701224,train
5,56e1b169cd28a01900c67a73,Computational_complexity_theory,"Many machine models different from the standard multi-tape Turing machines have been proposed in the literature, for example random access machines. Perhaps surprisingly, each of these models can be converted to another without providing any extra computational power. The time and memory consumption of these alternate models may vary. What all these models have in common is that the machines operate deterministically.","In considering Turing machines and alternate variables, what measurement left unaffected by conversion between machine models? ",['computational power'],The measurement left unaffected by conversion between machine models is the deterministic operation of the machines.,1.0,"Given the context, answer the question in a single brief but complete sentence. 
",,-338292717238653428,train
6,56e1b8f3e3433e14004230e9,Computational_complexity_theory,"The best, worst and average case complexity refer to three different ways of measuring the time complexity (or any other complexity measure) of different inputs of the same size. Since some inputs of size n may be faster to solve than others, we define the following complexities:",Case complexities provide three likelihoods of what differing variable that remains the same size? ,['inputs'],The case complexities provide the likelihoods of which variable may vary.,1.0,"Given the context, answer the question in a single brief but complete sentence. 
",,-5906838932686642839,train
7,56e1bc3ae3433e1400423107,Computational_complexity_theory,"To classify the computation time (or similar resources, such as space consumption), one is interested in proving upper and lower bounds on the minimum amount of time required by the most efficient algorithm solving a given problem. The complexity of an algorithm is usually taken to be its worst-case complexity, unless specified otherwise. Analyzing a particular algorithm falls under the field of analysis of algorithms. To show an upper bound T(n) on the time complexity of a problem, one needs to show only that there is a particular algorithm with running time at most T(n). However, proving lower bounds is much more difficult, since lower bounds make a statement about all possible algorithms that solve a given problem. The phrase ""all possible algorithms"" includes not just the algorithms known today, but any algorithm that might be discovered in the future. To show a lower bound of T(n) for a problem requires showing that no algorithm can have time complexity lower than T(n).",A specific algorithm demonstrating T(n) represents what measure of time complexity?,"['upper bound', 'upper and lower bounds']",A specific algorithm demonstrating T(n) represents the worst-case time complexity of the problem.,1.0,"Given the context, answer the question in a single brief but complete sentence. 
",,-1364487467967678357,train
8,56e1c0f6cd28a01900c67b2d,Computational_complexity_theory,"Of course, some complexity classes have complicated definitions that do not fit into this framework. Thus, a typical complexity class has a definition like the following:",Complexity classes are generally classified into what?,['framework'],"Typical complexity classes are generally classified into deterministic polynomial-time, probabilistic deterministic polynomial-time, nondeterministic polynomial-time and exponential-time classes.",1.0,"Given the context, answer the question in a single brief but complete sentence. 
",,6086221933327312107,train
9,56e1c0f6cd28a01900c67b2e,Computational_complexity_theory,"Of course, some complexity classes have complicated definitions that do not fit into this framework. Thus, a typical complexity class has a definition like the following:",Difficulty in establishing a framework for complexity classes can be caused by what variable?,"['complicated definitions', 'definitions']","The difficulty in establishing a framework for complexity classes can be caused by the variable that varies in terms of the inputs, the size of the input, the amount of processing needed to solve the problem, and the resources required to solve the problem.",1.0,"Given the context, answer the question in a single brief but complete sentence. 
",,6086221933327312107,train
