,document,summary,id,generated_summary,hallucination,prompt
0,"Mother Josephine's parents fled to Taiwan from China with the retreating Nationalist party after it lost the civil war to the Communists in the late 1940s. They believed the Republic of China and mainland China were part of the same country and that is what she was taught.
Father Clyde worked for years at Taiwan's agency promoting trade, including with China. He and Mrs Wang believe Taiwan must have good relations with its biggest trade partner and former enemy, which wants Taiwan to be reunified one day. They don't support unification or independence, but maintaining the status quo.
But son Kevin, 30, strongly feels Taiwan is a separate country and must assert its independence or risk being swallowed up by China.
""My parents still think we are Chinese. In university I began doubting what I had been taught was correct,"" Kevin said. ""Now I believe Taiwan should be independent in all ways possible.
""The current government of the Republic of China in Taiwan is still inextricably tied to the concept that we are a part of China, so we need to cut the umbilical cord.""
People like Kevin have joined the so-called Sunflower Movement, which last year occupied parliament for 24 days sparking the largest anti-China demonstration in years.
They blocked the legislative approval of a controversial trade deal with China and forced the government to agree to a new law allowing more public oversight of negotiations with Beijing.
Though activities on the one-year anniversary in March were relatively small, and parliament is once again occupied by legislators, it's far from business as usual.
The movement has made many people feel that they, not just the government or ruling Kuomintang (KMT) party, should have a say in what kind of relationship Taiwan develops with China.
It has also contributed to a major defeat for the pro-China ruling party in November local elections. If it further fuels fears about China and dissatisfaction with the KMT, it could help the pro-independence Democratic Progressive Party (DPP) win next year's presidential race.
At the same time, it is pushing for reforms to Taiwan's referendum law to make it easier for referenda to pass.
Sunflower leaders say this will advance Taiwan's democratisation and safeguard its sovereignty by allowing the people to directly decide issues, including Taiwan's separate identity and relationship with China.
""If recognition of Taiwan's identity can be protected, then that will further Taiwan's self-rule. This is very important to us,"" said Sunflower leader Lin Fei-fan.
But not everyone supports the movement.
Though many deals have been signed with China in recent years, including some widely considered beneficial to Taiwan, would-be agreements are now on hold indefinitely.
This is causing concern from not only businesses such as banks that need greater access to China's market, but others who also believe it's crucial for the small island of Taiwan to have stronger ties with China, especially economic ones.
That includes Jen-Hsuan Hsieh, a recent university graduate. ""The whole world is trying to understand China. We should do the same,"" she said.
""Even if you consider it your enemy, you should still understand your enemy well.""
A freelance interpreter, she is looking for work in China, where the opportunities are greater and wages higher.
She's not alone. A recent survey showed about one third of Taiwanese in their 20s and 30s want to work in China; more than in previous years.
That raises the question of whether time is on China's side or Taiwan's.
With time, Taiwan's economy and people's livelihoods may become more interlinked with China, making it easier for Beijing to push for unification.
But with time, Taiwanese people could grow even more adamant about the island's separate entity. A survey conducted late last year by the local China Youth Corps found nearly 90% of junior and senior-high school students regarded themselves as Taiwanese, rather than Chinese.
Some suggest that if China becomes democratic, and its average living standard reaches Taiwan's level, differences between the two sides will be blurred, and if its people understand more about Taiwan with time, their views about unification may weaken, making such a debate unnecessary.
For now, Beijing is watching the Sunflower Movement closely. However, it may be unsure how to react, partly because it's no longer about dealing with one political party versus another, but many civic groups and individuals driving the movement.
So far, it has mainly suggested reaching out to Taiwan's young people.
Back at the Wang home, the family avoid discussing the issue of Taiwan's sovereignty or Kevin's part in the movement until they are asked. But it's clear he wants to become more involved.
""Maintaining the status quo will inevitably mean reunification with China. What a lot of people in our generation are pushing for right now is de jure independence, formal independence,"" he said.
His parents accept that his generation will ultimately decide their society's future; they just hope it makes the right decisions.
""We don't know what's going to happen in a couple more generations,"" said his father, Clyde. ""I don't think it's a good idea to antagonise China and to provoke war across the strait.""
""What I like to see happen in the future is eventually this historical problem will be solved in a very peaceful way.""",Breakfast at the Wangs' on a Sunday: it's a lesson in how attitudes in Taiwan towards China have changed significantly in just three generations.,32157210,"The Sunflower Movement in Taiwan, a pro-democracy and pro-independence movement, has gained momentum in recent years as younger generations push for greater say in Taiwan's relationship with China, with some advocating for formal independence and others seeking to maintain the status quo; the movement has contributed to a major defeat for the pro-China ruling party in local elections and could potentially help the pro-independence Democratic Progressive Party win the presidential race in 2020.",1,"Article: {}
Summarize the article in one sentence. Summary:"
1,"Louis Kayes, from Moodiesburn in North Lanarkshire, called the club to tell them he was sorry he had not made it to Saturday's game against Motherwell.
The boy's mother, 35-year-old Lisa Kayes, said he had borrowed her phone to make the call.
She told the BBC her son had called after a ""bit of a guilt trip"".
Speaking on BBC Radio Scotland's Kaye Adams programme, she said: ""He was in the living room with my phone and then I heard the voicemail message from Celtic Park saying 'thank you for calling'.""
Ms Kayes said Louis wanted to speak to the club's manager, Brendan Rodgers, and his favourite player, Celtic captain Scott Brown, to apologise and explain his absence.
""He wanted to let both of them know he'd missed it in case they were looking for him,"" she said.
Louis told BBC Scotland the birthday party had been ""good"", but said he would definitely not be missing Wednesday evening's Champions League clash with Borussia Monchengladbach.
He predicted a 3-1 victory for his club, but confessed to feeling some pre-match nerves.
Ms Kayes added: ""He's possibly the most passionate five-year-old I know in terms of supporting Celtic. He doesn't like to miss a game.
""I think Celtic-Motherwell is the last home game he'll miss in a while. I don't think we'll be getting him to many other things on a Saturday afternoon.""",A five-year-old Celtic fan rang the club to apologise for missing a game after it clashed with a friend's birthday party.,37703656,"A 5-year-old boy named Louis from North Lanarkshire called Celtic FC to apologize for missing their game against Motherwell, using his mother's phone after a ""guilt trip,"" and expressed his enthusiasm for Wednesday's Champions League match against Borussia Monchengladbach.",0,"Article: {}
Summarize the article in one sentence. Summary:"
2,"That's the verdict of scientists who have analysed ancient DNA of the extinct animals for mutations.
The studies suggest the last mammoths died out after their DNA became riddled with errors.
The knowledge could inform conservation efforts for living animals.
There are fewer than 100 Asiatic cheetahs left in the wild, while the remaining mountain gorilla population is estimated at about 300. The numbers are similar to those of the last woolly mammoths living on Wrangel Island in the Arctic Ocean around 4,000 years ago.
Dr Rebekah Rogers of the University of California, Berkeley, who led the research, said the mammoths' genomes ""were falling apart right before they went extinct"".
This, she said, was the first case of ""genomic meltdown"" in a single species.
""You had this last refuge of mammoths after everything has gone extinct on the mainland,"" she added.
""The mathematical theories that have been developed said that they should accumulate bad mutations because natural selection should become very inefficient.""
The researchers analysed genetic mutations found in the ancient DNA of a mammoth from 4,000 years ago. They used the DNA of a mammoth that lived about 45,000 years ago, when populations were much larger,  as a comparison.
Woolly mammoths were once common in North America and Siberia. They were driven to extinction by environmental factors and possibly human hunting about 10,000 years ago. Small island populations clung on until about 4,000 years ago.
""There was this huge excess of what looked like bad mutations in the genome of the mammoth from this island,"" said Dr Rogers.
""We found these bad mutations were accumulating in the mammoth genome right before they went extinct.""
Knowledge of the last days of the mammoth could help modern species on the brink of extinction, such as the panda, mountain gorilla and Indian elephant. The lesson from the woolly mammoth is that once numbers drop below a certain level, the population's genetic health may be beyond saving. Genetic testing could be one way to assess whether levels of genetic diversity in a species are enough to give it a chance of survival. A better option is to stop numbers falling too low.
""When you have these small populations for an extended period of time they can go into genomic meltdown, just like what we saw in the mammoth,"" said Dr Rogers.
""So if you can prevent these organisms ever being threatened or endangered then that will do a lot more to help prevent this type of genomic meltdown compared to if you have a small population and then bring it back up to larger numbers because it will still bear those signatures of this genomic meltdown.""
Scientists think the genetic mutations may have given the last woolly mammoths ""silky, shiny satin fur"". Mutations may have also led to a loss of olfactory receptors, responsible for the sense of smell, as well as substances in urine involved in social status and attracting a mate.
Love Dalen is professor of evolutionary genetics at the Swedish Museum of Natural History and head of the team of scientists that originally published the DNA sequences of the mammoths.
He said they found ""many deletions, big chunks of the genome that are missing, some of which even affected functional genes"".
""This is a very novel result,"" he said. ""If this holds up when more mammoth genomes, as well as genomes from other species, are analysed, it will have very important implications for conservation biology.""
The research is published in the journal, PLOS Genetics.
Follow Helen on Twitter.","The last woolly mammoths to walk the Earth were so wracked with genetic disease that they lost their sense of smell, shunned company, and had a strange shiny coat.",39142941,"Scientists have discovered that the last mammoths on Earth experienced a genetic meltdown due to inbreeding and small population sizes, leading to a rapid accumulation of harmful mutations in their DNA, which could inform conservation efforts for other endangered species.",0,"Article: {}
Summarize the article in one sentence. Summary:"
3,"The price of Brent crude fell to $27.67 a barrel at one point, its lowest since 2003, while US crude fell as low as $28.36.
Many analysts have slashed their 2016 oil price forecasts, with Morgan Stanley analysts saying that ""oil in the $20s is possible"", if China devalues its currency further.
Economists at the Royal Bank of Scotland say that oil could fall to $16, while Standard Chartered predicts that prices could hit just $10 a barrel.
What are the factors have caused the price to sink below $30 a barrel - and what could spark a recovery?
In a nutshell, it's down to too much supply and too little demand.
China's economic slowdown has curbed appetite for commodities in general, while Saudi Arabia, which produces a third of the Opec cartel's output, is keener on preserving its market share than it is on cutting production to boost prices.
At the same time, the rise of the US as a shale oil producer means it now imports less oil, adding to the glut on world markets.
This makes life harder for other non-US, non-Opec producers, who are facing cutbacks, particularly in the North Sea.
Big oil companies such as BP, Shell, Total and Exxon Mobil have weathered the storm by cutting back on billions of pounds of investment, and thousands of jobs have been cut.
However, Jeremy Batstone-Carr, chief economist at Charles Stanley, warns that further price falls could really start hurting the big firms.
The first clue that they are starting to suffer, he suggests, will be cutting dividend payments to investors - something they have avoided so far.
Meanwhile, Alan Gelder, of oil analysts Wood Mackenzie, says many North Sea oil operators are ""beginning to really feel the pain"" at current prices.
He says firms can just about survive as many North Sea operators have already cut costs. But Mr Gelder warns that ""there is no money left for future investment"".
Paul Stevens, professor emeritus at the University of Dundee, and a Middle East specialist, says the price of oil could theoretically fall to as little as $20 to $25 per barrel.
Why? It may be an unusual view but he thinks most US shale oil producers can tolerate current oil prices.
They may make a small loss - he estimates the cost of production at about $40 a barrel for shale producers - but until the price falls to around $25 a barrel they will keep producing, Prof Stevens says.
Mr Gelder, however, does not think many US shale operators can continue production with prices below $50.
""There are some sweet spots in the US where some operators are able to keep production going at lower levels, but it's not economic at under $30,"" he says.
There is also another much bigger problem than the future of fracking in the US.
""An awful lot of oil producers can't survive at these levels,"" Mr Gelder says. ""Venezuela, Algeria, Nigeria are facing serious financial problems and political unrest with people out of work and prices rising.""
There is so much oversupply globally that countries are running out of storage. The US, which is thought to have among the largest storage facilities in the world, has nowhere left to keep it, says Prof Stevens. And it's not the only country.
""Storage is pretty much full and people are already talking about buying tankers as floating storage,"" he says. ""But if supply continues to outstrip demand, then the only thing that you can do with the oil is sell it, which inevitably pushes the price down.""
Mr Gelder takes a different view, suggesting it is not entirely clear whether US storage is completely full. ""We know about US and European storage levels, but India and China are strategically storing oil for supply disruptions.""
Mr Batstone-Carr adds:  ""Without a marked reduction in output nothing will change, and we have to wait until June for the next Opec meeting before we might see a reduction in quotas. And all of this comes at a time when economic activity is on the back foot, signalling there's not a lot of demand out there.""
Professor Stevens warns that the collapse in prices is the result of oil being ""freely traded for the first time since 1928"".
That, he says, is because Saudi Arabia has decided not to cut production to support prices - unlike during previous oil gluts.
It is just over four years since the US imposed sanctions on oil imports from Iran, helping to bolster prices and allowing Saudi Arabia to grab market share that it is now very reluctant to surrender.
A report from Wood Mackenzie says that the Saudis would not cut output to make room for Iran, which could begin exporting oil in the next few weeks, according to some sources.
""Unless other producers such as Russia, Iran and Iraq agree to reduce their oil production, Saudi Arabia has consistently stated since the November 2014 Opec meeting, it has no intention of cutting its supply to support oil prices,"" the report says.
""The current ramping up in tensions between Saudi Arabia and Iran only further confirms our view that Saudi Arabia is unlikely to cut its output to help Iran regain market share.""
Prof Stevens says tensions in the Middle East are ""as high as you could have them without having outright war. I don't think things have been as bad since 1918 and the fall of the Ottoman Empire.""
Such uncertainty normally sparks an oil price spike. But apart from a rise over the New Year, prices have continued to slide.
Mr Gelder says most oil traders shrugged off the possibility of Saudi Arabia and Iran squaring up to one another in a way that could seriously affect supplies.
And with demand for oil weakening, especially in China and emerging markets, there seems little reason to expect that prices are set to rise any time soon.
It means lower petrol prices, although what you pay at the pump may not fully reflect the oil price drop. Bear in mind that excise duty and VAT make up nearly 60% of the price of a litre, and that isn't coming down any time soon.
Obviously if people are spending less at the forecourt, they have more money to allocate elsewhere, and that is a potential boost to the economy.
However, if petrol-driven cars cost less to run, that means there's less incentive to invest in alternatives, such as electric vehicles, so in the long run, low petrol prices could be bad for the environment.
Additional reporting by Tom Espiner.","Oil prices have fallen again, sinking below $28 a barrel.",35245133,"The recent drop in oil prices below $30 per barrel is primarily due to excessive supply and weak demand, exacerbated by Saudi Arabia's reluctance to cut production to support prices, China's economic slowdown, and the rise of US shale oil production, leading to a glut in the global market and further pressure on prices.",0,"Article: {}
Summarize the article in one sentence. Summary:"
4,"Gian-Franco Kasper, a Swiss ski official, made the comparison during an IOC board meeting in Pyeongchang.
The board is debating whether to suspend the entire Russian team from the Games following a doping scandal.
""I apologise unreservedly for any offence I have caused. I am truly sorry,"" Franco Kasper said.
The International Ski Federation President was discussing a proposed blanket ban on Russian athletes when he made the Holocaust comment, referring to the World War II genocide that saw six million Jews killed by Adolf Hitler's Nazi Germany.
He reportedly said: ""I'm just against bans or sanctioning of innocent people. Like Mr Hitler did - all Jews were to be killed, independently of what they did or did not do.""
When challenged by reporters at the time, Franco Kasper responded: ""Why not? Of course it's more extreme. But just the fact that the place you come from makes you guilty, I'm not OK for this, really not.""
Russia did not receive a blanket ban from the IOC from the 2016 Olympics in Rio, opting to leave the decision to individual sports' governing bodies.
A report in December 2016 claimed Russian medallists from summer and winter Olympics had benefited from a state-sponsored doping programme between 2011 and 2015.",An International Olympic Committee (IOC) board member has apologised for comparing calls to ban Russia from the 2018 Winter Olympics to the Holocaust.,39289836,"Gian-Franco Kasper, the President of the International Ski Federation, sparked outrage by making a controversial comparison between the Holocaust and the potential ban of Russian athletes from the Olympics due to a doping scandal, apologizing later for any offense caused.",0,"Article: {}
Summarize the article in one sentence. Summary:"
5,"The Wikileaks co-founder sought asylum at London's Ecuadorean embassy in 2012 to avoid extradition to Sweden.
UK officials said the bill for policing the embassy, which stands at £12m ($18.8m; €16.8m), was ""unacceptable"".
Earlier, Swedish prosecutors dropped two sex assault claims against Mr Assange, who had denied the claims.
Mr Assange still faces the more serious accusation of rape, which he also denies.
The British Ambassador in Quito, Ecuador's capital, is to make the formal protest to the Ecuadorean government on Thursday.
""Ecuador must recognise that its decision to harbour Mr Assange more than three years ago has prevented the proper course of justice... It is completely unacceptable that the British taxpayer has had to foot the bill for this abuse of diplomatic relations,"" said Foreign Office minister Hugo Swire.
Mr Swire said the UK ""continues to have a legal obligation"" to extradite Mr Assange over the rape allegation.
""I have instructed our ambassador in Quito to reiterate to Ecuador that the continuing failure... to bring this situation to an end, is being seen as a growing stain on the country's reputation,"" he added.
Full timeline
Julian Assange profile
Mr Assange sought asylum three years ago to avoid extradition to Sweden, fearing he would then be sent to the US and put on trial for releasing secret American documents.
The UK has paid for policing around the embassy in Knightsbridge, central London, for the past three years.
The formal protest comes after Swedish prosecutors dropped their investigation into an allegation of sexual molestation and an accusation of unlawful coercion against Mr Assange because they ran out of time to question him.
An additional alleged incident of sexual molestation will be ""time barred"" - that is, time will run out to question Mr Assange - on 18 August.
The Swedish statement also said an allegation of rape was due to expire on 17 August 2020, but that investigation would continue.
The alleged events took place in August 2010.
Mr Assange said he was ""extremely disappointed"", adding the Swedish prosecutor had avoided hearing his side of the story.
Under Swedish law, charges cannot be laid without interviewing the suspect.
""There was no need for any of this. I am an innocent man. I haven't even been charged,"" said Mr Assange.
""From the beginning I offered simple solutions. Come to the embassy to take my statement or promise not to send me to the United States. This Swedish official refused both. She even refused a written statement.""
However, Sweden's director of public prosecution said a request to interview Mr Assange inside the embassy had been submitted but permission was yet to be granted.
Marianne Nye said she still hoped to arrange an interview as there were ""ongoing negotiations"" between Sweden and Ecuador.
One of Mr Assange's lawyers, Helena Kennedy, said: ""Julian Assange has spent more time incarcerated in the small rooms of the embassy, with no access to fresh air or exercise and contrary to international law, than he could ever spend in a Swedish prison on these allegations.""
Mr Assange's mother Christine said: ""I have privately shed many tears for many years - the terrible injustice of it all.""
Wikileaks has published thousands of secret documents, which have caused intense embarrassment for the US and lifted the lid on diplomatic relations.","The UK is to make a formal protest to the government of Ecuador over the country's decision to ""harbour"" Julian Assange, the Foreign Office has said.",33907874,"Julian Assange, the founder of WikiLeaks, has been living in the Ecuadorian embassy in London since 2012 to avoid extradition to Sweden on sexual assault charges, but Swedish prosecutors have dropped the investigations due to lack of time, while the UK government has criticized Ecuador for the high cost of policing the embassy and demanded that Assange be extradited to face the rape accusation.",0,"Article: {}
Summarize the article in one sentence. Summary:"
6,"The union announced in August that Glasgow Warriors boss Townsend would replace Cotter in June.
Former Clermont head coach Cotter has subsequently secured a return to France with Montpellier for next year.
""Holistically, I understand,"" said Cotter, who has named his squad for November's autumn Test series.
""As a competitor, you're always disappointed if you're doing something and you want to go somewhere and you've got objectives in mind, naturally, but that's the deal and that's done.
""The decision was made to put Gregor in place. I think it's a good decision and the executives made their decision. I respect it and just move on.""
Cotter, whose side face Australia (12 November), Argentina (19 November) and Georgia (26 November) in his last autumn internationals as Scotland head coach, says the ""big year"" ahead should keep the players focused.
""There's more important things than just us,"" he said of himself and Townsend. ""It's a Lions year, there's places to be taken on that trip in June against New Zealand.
""The players are professional and they'll be wanting to play well for their club, whether it's Glasgow, and then shifting through to international stuff - whether it's a young player or established players.
""Look at [Edinburgh hooker] Ross Ford. It could be his 100th game [for Scotland]. Those sort of things take precedence.
""It's not about us, it's about the bigger picture.""","Vern Cotter is ""disappointed"" he is leaving his job as Scotland head coach but ""respects"" Scottish Rugby's decision to appoint Gregor Townsend.",37763931,"Scotland head coach Vern Cotter has accepted his replacement by Glasgow Warriors boss Gregor Townsend and has moved on from the decision, focusing on his side's upcoming autumn internationals and the importance of the Lions tour in June.",0,"Article: {}
Summarize the article in one sentence. Summary:"
7,"The UK could also be allowed to keep many of its trade terms with the EU so as to avoid disruption, Moody's said.
The report shows economic warnings from pro-EU groups have been ""baseless scaremongering"", Vote Leave said.
But the Britain Stronger in Europe group said it was further evidence that leaving would damage the economy.
The Moody's report comes after the CBI warned a British exit from the EU - known as a ""Brexit"" - could cost the UK economy Â£100bn and nearly one million jobs.
A vote to leave in the 23 June referendum would create significant uncertainty that would hamper economic growth, according to Moody's.
But the ratings agency said this would be partly offset by a decline in the pound - making UK exports more competitive - and by companies having time to adjust during UK-EU negotiations that it expects to last for at least two years.
""Our central view is that the negative economic impact of Brexit would be relatively small,"" the credit agency said.
As a result, Moody's would ""not expect to see significant increases in unemployment or [interest] rates, or substantial declines in property prices across the UK as a whole"".
Matthew Elliott, chief executive of Vote Leave, said of the report: ""The UK will not face trade barriers after we Vote Leave, jobs will be safe and our credit rating will not be affected.""
However, Lucy Thomas, deputy director of Stronger In Europe, said: ""By leaving, we would unavoidably end up with worse trade terms. That would hit British industries such as car makers and financial services, putting jobs, low prices and financial security at risk for British people.
""Until the Leave campaigns can specify exactly how they would avoid that, going out on our own is a risk we can't afford to take.""
No trade deal would be as good as the one the UK currently has, she added.
Moody's said: ""We expect that, over time, the UK and EU would come to an arrangement to preserve most - but probably not all - of the current trading relationships, thereby limiting the impact on UK exporters and supply chains of UK importers.""
This is because both the UK and EU would want to avoid large-scale disruption, it said.
The ratings agency also pointed to HSBC's recent decision to keep its headquarters in London as evidence the capital would still be an attractive home for financial services firms.
""Although there are clear downside risks to the City of London's standing as a global financial centre, in our central scenario we do not see Brexit materially damaging its strong position,"" it said.
Gas, electricity, water and broadband networks would see ""little"" impact from a Leave vote, despite the UK having to replace existing EU regulations.
The agency looked at 200 UK companies for the report, finding that the risks of a ""Brexit"" would mainly centre around: additional trade barriers; investment decisions; regulatory changes; and curbs on migration.","The UK economy would be hit by leaving the EU, but the impact would be ""small"" and unlikely to lead to big job losses, according to credit agency Moody's.",35862774,"According to a report by Moody's, a potential Brexit could have a limited impact on the UK's economy, with the agency expecting that the country would be able to negotiate favorable trade terms with the EU and avoid significant disruption, although some industries such as car makers and financial services could be affected.",0,"Article: {}
Summarize the article in one sentence. Summary:"
8,"They made the connection on an expedition to the boy's village, Meliandou.
They took samples and chatted to locals to find out more about Ebola's source.
The team's findings are published in EMBO Molecular Medicine.
Meliandou is a small village of 31 houses.
It sits deep within the Guinean forest region, surrounded by towering reeds and oil palm cultivations - these are believed to have attracted the fruit bats carrying the virus passed on to Emile.
During their four-week field trip in April 2014, Dr Fabian Leendertz and colleagues found a large tree stump situated about 50m from Emile's home.
Villagers reported that children used to play frequently in the hollow tree.
Emile - who died of Ebola in December 2013 - used to play there, according to his friends.
The villagers said that the tree burned on March 24, 2014 and that once the tree caught fire, there issued a ""rain of bats"".
A large number of these insectivorous free-tailed bats - Mops condylurus in Latin - were collected by the villagers for food, but disposed of the next day after a government-led ban on bushmeat consumption was announced.
While bushmeat is thought to be a possible source of Ebola, the scientists believe it didn't trigger the outbreak.
Instead, it was Emile's exposure to the bats and their droppings as he played with his friends in the hollowed tree.
The scientists took and tested ash samples from the tree and found DNA traces that were a match for the animals.
While they were unable to test any of the bushmeat that the villagers had disposed of, they captured and tested any living bats they could find in and around Meliandou.
No Ebola could be detected in any of these hundred or so animals, however.
But previous tests show this species of bat can carry Ebola.
Dr Leendertz, from the Robert Koch Institute in Germany, and his colleagues say this must be a pretty rare occurrence though.
Dr Leendertz said: ""That is also obvious when you think about how many tonnes of bat meat is consumed every year.
""If more bats carried the virus, we would see outbreaks all the time.""
He says it is vital to find out more about the bats.
""They have moved into human settlements. They do not just live in the trees but also under the roofs of houses in the villages.
""The Ebola virus must jump through colonies from bat to bat, so we need to know more.""
But culling the animals is not the answer.
""We need to find ways to live together with the wildlife. These bats catch insects and pests, such as mosquitoes. They can eat about a quarter of their body weight in insects a day.
""Killing them would not be a solution. You would have more malaria.""","The Ebola victim who is believed to have triggered the current outbreak - a two-year-old boy called Emile Ouamouno from Guinea - may have been infected by playing in a hollow tree housing a colony of bats, say scientists.",30632453,"A team of scientists on an expedition to the village of Meliandou in Guinea where Ebola victim Emile lived, discovered that a hollow tree near Emile's home was the likely source of the virus, as they found DNA traces of the Ebola-carrying bats in the tree's ash samples, despite not detecting the virus in any of the living bats they tested.",0,"Article: {}
Summarize the article in one sentence. Summary:"
9,"Forster, who rejoined the club in July after 22 games on dual registration at Haven earlier in his career, replaces sacked James Coyle.
He began his career at Saints, winning the academy Grand Final there, but was limited to five senior appearances.
""This appointment will lift everybody,"" general manager Amanda Hewer said.
The ex-Salford forward takes charge after a season which saw Haven relegated from the Championship, despite winning three of the final five games in the Super 8s.
Subscribe to the BBC Sport newsletter to get our pick of news, features and video sent to your inbox.","Whitehaven have appointed former St Helens prop Carl Forster as player-coach at the age of 24, the youngest in the professional game.",37453824,"Former Saints player, Adam Forster, has been appointed as the new manager of Haven Football Club, replacing sacked manager James Coyle, after spending 22 games on dual registration at Haven earlier in his career and starting his career at Saints, winning the academy Grand Final.",0,"Article: {}
Summarize the article in one sentence. Summary:"
